"influences";"influenced"
"Thomas R";"George Berkeley"
"Thomas Robert Mal";"Jean Charles Léonard de Sismon"
"Timothy Gow";"Norman Routl"
"Winifred Pennington";"Clare Fell"
"Wolfgang Köhl";"Carl Stumpf"
"Yanis Varoufak";"Maurice D"
"Yann LeCun";"Jean P"
"Gordon Pask";"Heinz von F"
"Pl";"Alcmaeon of Croton"
"Philip K";"Carl Gustav Hempel"
"Ludwig F";"Johann Eduard Erdmann"
"Ludwig Wittgenstein";"Johann Georg Hamann"
"Luigi Pasin";"Michał Kaleck"
"Léopold Sédar Sen";"Leo Froben"
"Maine de Biran";"Étienne Bonnot de Condill"
"Urie Bronfenbrenn";"Lev Vygotsky"
"Shimshon Bichl";"Michał Kaleck"
"Gilbert Ryl";"Bernard Bolzan"
"Qiu Yin";"Zhou Chen"
"Margaret Turnbull";"Jill T"
"Karl Amerik";"Karsten H"
"Johannes Rehmk";"Karl Robert Eduard von Hartmann"
"Manuel Arturo Izquierdo Peñ";"Liborio Z"
"Blaise Pascal";"Michel de Montaign"
"Branko Merxhan";"Ziya Gökal"
"Diana Gittin";"Joan Busfiel"
"Dieter Hen";"Johann Gottlieb F"
"Gore Vidal";"Michel de Montaign"
"G";"Zeno of El"
"Gotthold Ephraim Lessin";"Johann Joachim Winckelmann"
"Gottlob F";"Benno Kerry"
"Gottlob F";"Bernard Bolzan"
"Kevin Mulligan";"Bernard Bolzan"
"Konrad Lorenz";"Karl Kautsky"
"Konrad Lorenz";"Karl P"
"Konstantin Somov";"Mikhail Vrubel"
"P";"Zeno of El"
"Py";"Kalan"
"Rachel Haurwitz";"Jillian Banfiel"
"Ralph Brown";"Keith Godwin"
"Guan Ton";"Jing H"
"Harvey Brown (philosopher)";"Michael R"
"Rebecca Guay";"John Bauer (illustrator)"
"Ronald A. K";"Hendrik H"
"Akira Yoshin";"John B. Gooden"
"Alain de Botton";"Émile C"
"Alan Greenspan";"Milton Friedman"
"Alan W";"Zhuang Z"
"Albert Cam";"Michel de Montaign"
"Albert Einstein";"Johann Heinrich Pestalozz"
"Albert Einstein";"Karl Pearson"
"Albert Schweitz";"Rudolf Stein"
"Aldo Capitin";"Carlo Michel"
"Aleister Crowley";"Zhuang Z"
"Alexander the G";"Kalan"
"Alexandre Kojèv";"Leo S"
"Alfred Eichn";"Michał Kaleck"
"Alfred Radcliffe-Brown";"Émile Durkheim"
"Alfred V";"John G. Lin"
"Alice Crary";"John McDowell"
"Allan Bloom";"Leo S"
"Alojz Ben";"Miloje Vasić"
"Alojz Rebul";"Milan Kom"
"Charles A. Doswell III";"Keith Brownin"
"Charles Darwin";"Michel de Montaign"
"Charles G";"Lionel Robbin"
"Charles L. Evan";"Bennett McCallum"
"Charles Sanders P";"Benjamin P"
"Charles Scott Sherrington";"Johannes Peter Müll"
"Charles Scott Sherrington";"Rudolf Virchow"
"Charles Taylor (philosopher)";"Émile Durkheim"
"Noam Chomsky";"Leszek Kołakowsk"
"Noam Chomsky";"Mikhail Bakunin"
"Norman Geisl";"Étienne Gilson"
"Noval";"Johann Gottlieb F"
"Olavo de Carval";"Russell Kirk"
"Cheng Yi (philosopher)";"Zhou Duny"
"Donald A. Gill";"Karl P"
"Stathis Psill";"David Papin"
"Fuad al-Rik";"Michel Aflaq  1"
"Axel Honn";"John McDowell"
"Axel Ockenfel";"Joachim Weimann"
"Barbara Cassin";"Édouard Glissan"
"Bashar al-A";"Michel Aflaq  1"
"Daniel Ross (philosopher)";"Bernard Stiegl"
"Debra F";"Jill T"
"John Passm";"John Anderson (philosopher)"
"Marla Fell";"Carla J. Shatz"
"Carl Jun";"Karl Robert Eduard von Hartmann"
"Carl Schm";"Leo S"
"Carl Stumpf";"Bernard Bolzan"
"Carlo Caf";"Mikhail Bakunin"
"Chris Lattn";"Vikram Adv"
"Christian Jakob K";"Johann Georg Hamann"
"Christopher Hitchen";"Leo S"
"Christopher Hitchen";"Leszek Kołakowsk"
"Chry";"Zeno of Citium"
"Clarence Thom";"Leo S"
"Clark L. Hull";"Kenneth Spen"
"Claude Adrien Helvé";"Étienne Bonnot de Condill"
"Claude Lef";"Leo S"
"Claude Lévi-S";"Émile Durkheim"
"Claudio M";"Carlo Michel"
"Clean";"Zeno of Citium"
"Clive Gran";"Katarina Jusel"
"Colin Renfrew";"Lewis Binf"
"Gary Beck";"Milton Friedman"
"Gaston Bachel";"Émile Meyerson"
"Gene S";"Étienne de La Boé"
"Georg Can";"Bernard Bolzan"
"Georg Ernst Stahl";"Johann Joachim B"
"Georg Wilhelm Friedrich Hegel";"Johann Georg Hamann"
"George Berkeley";"John Lock"
"George Grant (philosopher)";"Leo S"
"George Lakoff";"Benjamin Lee Whorf"
"George S";"Karl P"
"George Stein";"Leo S"
"George S";"Kazimierz Twardowsk"
"Georges Canguilhem";"Émile C"
"Gerard 't Hoof";"Benjamin W. L"
"Gershom Scholem";"Leo S"
"Gertrude Himmelf";"Michael Oak"
"Gianni Vattim";"John D. C"
"Gilles Deleuz";"Milič Čapek"
"Gilles Saint-Paul";"Michael J. P"
"Giorgio Agamben";"Michel Foucaul"
"Giovanni A";"Karl Polany"
"Jean-François Ly";"Michel de Montaign"
"Jean-Jacques R";"Étienne Bonnot de Condill"
"Jean-Jacques R";"Michel de Montaign"
"Jean-Luc Marion";"Michel Henry"
"Jean Cavaillè";"Bernard Bolzan"
"Jeffrey S";"John Luke Gall"
"Jeremy Shearm";"Karl P"
"Jerome C";"Russell Kirk"
"Jerrold Levinson";"Kendall Walton"
"Jess W";"Lesley Cohen (physicist)"
"Joan Robinson";"Michał Kaleck"
"Johann Baptist Metz";"Karl Rahn"
"Johann Baptist von Lampi the Youn";"Johann Baptist von Lampi the El"
"Johann Christoph Adelun";"Johann Gottfried H"
"Johann Friedrich H";"Johann Gottlieb F"
"Johann Gottfried H";"Johann Georg Hamann"
"Johann Gottfried H";"Johann Joachim Winckelmann"
"Johann Gottlieb F";"Karl Leonhard Reinhol"
"Johann Wolfgang von G";"Johann Georg Hamann"
"Johann Wolfgang von G";"Johann Gottfried H"
"Johann Wolfgang von G";"Johann Joachim Winckelmann"
"John C. H. Spen";"John M. Cowley"
"John Crowley (author)";"Hans Jon"
"John Derby";"Russell Kirk"
"John Eatwell, Baron Eatwell";"Michał Kaleck"
"John Eccles (neurophysiologist)";"Karl P"
"John Gray (philosopher)";"Karl Polany"
"John Hick";"Lionel Robbin"
"John Kenneth Gal";"Michał Kaleck"
"John L. Hall";"Katharine Blodgett G"
"John Leech (caricaturist)";"John Doyle (artist)"
"John Maynard Keyn";"Michał Kaleck"
"John Mearsheim";"Kenneth Waltz"
"Hadley Ark";"Leo S"
"Hans Jon";"Leo S"
"Jakob von Uexküll";"Johannes Peter Müll"
"Ben Bernank";"Milton Friedman"
"Benno Kerry";"Bernard Bolzan"
"Benoit Mandel";"Lewis Fry Richardson"
"Bernard Gin";"Bernard Katz"
"Bertolt B";"Karl K"
"Bill Ackman";"Benjamin Graham"
"Bill Mitchell (economist)";"Michał Kaleck"
"Karl K";"Mikhail Bakunin"
"Karl Marx";"Michel de Montaign"
"Karl P";"Karl Bühl"
"Karl Renn";"Karl Kautsky"
"Katharine Hay";"Donald Wuebbl"
"Kazimierz Twardowsk";"Benno Kerry"
"Kazimierz Twardowsk";"Bernard Bolzan"
"Kazimierz Łask";"Michał Kaleck"
"Kenneth Binm";"John Harsany"
"Leo S";"Johann Joachim Winckelmann"
"Leo S";"Michael Oak"
"Leo Tolstoy";"Mitrofan Lodyzhensky"
"Leon K";"Hans Jon"
"Leon Trotsky";"Karl Kautsky"
"Leonard Bloomfiel";"John B. Watson"
"Leslie R. Lemon";"Keith Brownin"
"Lew Rockwell";"Étienne de La Boé"
"Lin Fengmian";"Zao Wou-K"
"Zhu X";"Zhou Duny"
"Ziya Gökal";"Émile Durkheim"
"Zygmunt Bauman";"Hans Jon"
"Zygmunt Florenty Wróblewsk";"Johannes Diderik van der Waal"
"Émile Durkheim";"Émile Boutroux"
"Ľudovít Štú";"Johann Gottfried H"
"Jonathan Nitzan";"Michał Kaleck"
"Walter Bern";"Leo S"
"Michael Maj";"Bernard Kettlewell"
"Michael R";"Karl P"
"Michael W. Doyl";"Michael Walz"
"Michael Zuck";"Leo S"
"Michel Aflaq";"Zaki al-Arsuz"
"Michel Foucaul";"Jeremy Bentham"
"Michel Foucaul";"Michel de Montaign"
"Michel Onfray";"Émile Arman"
"Michel Onfray";"Michel de Montaign"
"Michel Talagran";"Katalin Marton"
"Michelle Malkin";"Russell Kirk"
"Mikhail Nesterov";"Mikhail Vrubel"
"Milton Friedman";"Karl P"
"Miodrag B. Protić";"Mladen Josić"
"Miranda Frick";"John McDowell"
"Rudolf Hilferdin";"Karl Kautsky"
"Rudolf Jaen";"Beatrice Mintz"
"Rudolf Rock";"Étienne de La Boé"
"Rudolf Stein";"Karl Robert Eduard von Hartmann"
"Rudolf von Jak";"Karl Hugo H"
"Rupert Sheldrak";"Milič Čapek"
"Saddam Hussein";"Michel Aflaq  1"
"Salah J";"Michel Aflaq  1"
"Salah J";"Zaki al-Arsuz"
"Salah al-Din al-B";"Michel Aflaq  1"
"Salah al-Din al-B";"Zaki al-Arsuz"
"Salomon Maimon";"Karl Leonhard Reinhol"
"Samuel Bowles (economist)";"Karl Polany"
"Catherine Zuck";"Leo S"
"Isabelle Sten";"Étienne S"
"Isabelle Sten";"Michel S"
"Isabelle Sten";"Milič Čapek"
"Jacques Ranciè";"Étienne Bal"
"Juran (painter)";"Dong Yuan"
"Fan Kuan";"Jing H"
"Kay Nielsen";"John Bauer (illustrator)"
"Ernest L";"Jerry F"
"Jean-François Melon";"Bernard Mandevill"
"Richard McKeon";"Leo S"
"Richard McKeon";"Étienne Gilson"
"Natalie Batal";"Jill T"
"Slavoj Žižek";"Leo S"
"Jan-Fishan Khan";"Haji Dost Muhammad Qan"
"Seth Ben";"Leo S"
"Draga Garašanin";"Miloje Vasić"
"E. E. Evans-P";"Émile Durkheim"
"Ed Husain";"Leo S"
"Ed Miliban";"Michael Sandel"
"Edgar F. C";"David L. Chil"
"Edmund Husserl";"Johann Friedrich H"
"Edmund Husserl";"Benno Kerry"
"Edmund Husserl";"Bernard Bolzan"
"Eduard Hitz";"Rudolf Virchow"
"Eduardo Torroja Caball";"Karl Georg Christian von S"
"Francis A. Sullivan";"Karl Rahn"
"Francis Fukuyam";"Leo S"
"Franciszek Ksawery Lam";"Johann Baptist von Lampi the El"
"Frank F";"John Bates Clark"
"Frank Kn";"John Bates Clark"
"Frans Hal";"Karel van Man"
"Franz B";"Johann Gottfried H"
"Franz Brentan";"Bernard Bolzan"
"Frederica de Lagun";"Therkel Mathiassen"
"Frederick Terman";"Lewis Terman"
"Friedrich Beck";"John Eccles (neurophysiologist)"
"Friedrich Eduard Benek";"Johann Friedrich H"
"Friedrich Hayek";"John Bates Clark"
"Friedrich Hayek";"Bernard Mandevill"
"Friedrich Hayek";"Karl P"
"Friedrich Heinrich J";"Johann Georg Hamann"
"Friedrich Hölderlin";"Johann Joachim Winckelmann"
"Friedrich Nietz";"Johann Gottfried H"
"Friedrich Nietz";"Johann Joachim Winckelmann"
"Friedrich Nietz";"Michel de Montaign"
"Friedrich Schill";"Karl Leonhard Reinhol"
"Friedrich Schleierm";"Johann Gottfried H"
"Friedrich Schleierm";"Johann Gottlieb F"
"Friedrich Wilhelm Joseph Schellin";"Johann Georg Hamann"
"Fritz London";"Johannes Diderik van der Waal"
"G. S. Maddal";"Zvi Gril"
"Gamal Abdel N";"Michel Aflaq  1"
"H. L. A. H";"Jeremy Bentham"
"H. L. A. H";"John Austin (legal philosopher)"
"Hannah Aren";"Hans Jon"
"Hannah Aren";"Karl J"
"Hans-Georg Gadam";"Karl J"
"Hans-Georg Gadam";"Leo S"
"Hans-Hermann H";"Karl-Otto Apel"
"Hans Al";"Karl P"
"Hans Vaihin";"Karl Robert Eduard von Hartmann"
"Hao Wang (academic)";"Jin Yuelin"
"Harold Bloom";"Hans Jon"
"Harold Bloom";"Leo S"
"Harold Hongju K";"Mirjan Damašk"
"Harry Markowitz";"John Burr William"
"Hossein Nassim";"Bahman Nassim"
"Huey P. Newton";"Émile Durkheim"
"Hugh B. C";"John Graham K"
"Hugo Bergmann";"Rudolf Stein"
"Humphry Davy";"Benjamin Thompson"
"Hyman Minsky";"Michał Kaleck"
"Ibn A";"Sheikh Yusof Sarvestan"
"Ida Kohlmey";"John McCrady"
"Ilya Prigogin";"Michel S"
"Immanuel Hermann F";"Johann Friedrich H"
"Immanuel Hermann F";"Johann Gottlieb F"
"Immanuel Kan";"Johann Heinrich Lam"
"Immanuel Kan";"Johannes Nikolaus Teten"
"Immanuel Kan";"John Lock"
"Imre Lak";"Karl P"
"Irving Kahn";"Benjamin Graham"
"Irving Kristol";"Leo S"
"J. Bradford DeLon";"Milton Friedman"
"J. L. Mack";"John Anderson (philosopher)"
"J. Michael Bailey";"Lee Willerman"
"Jacques Lacan";"Leo S"
"Jacques Maritain";"Étienne Gilson"
"Jakob Friedrich F";"Karl Leonhard Reinhol"
"James C. S";"Karl Polany"
"James Dew";"Johannes Diderik van der Waal"
"James K. A. Sm";"John D. C"
"James Reist Stoner J";"Leo S"
"James V. Schall";"Leo S"
"Jan Kregel";"Michał Kaleck"
"Jared Diamon";"John Luke Gall"
"Saul Bellow";"Leo S"
"Saul Bellow";"Rudolf Stein"
"Saul Kripk";"Ruth Barcan M"
"Scott Sumn";"Milton Friedman"
"Seneca the Youn";"Zeno of Citium"
"Pierre Charron";"Michel de Montaign"
"Stephen Yabl";"Kendall Walton"
"Posidon";"Zeno of Citium"
"Amartya Sen";"Kenneth Arrow"
"Amin al-Hafiz";"Michel Aflaq  1"
"Andreas Vesal";"Johannes Baptista Montan"
"Andrei Tarkovsky";"Rudolf Stein"
"Andrew Sullivan";"Michael Oak"
"Andrzej Szczeklik";"Ryszard Gryglewsk"
"André M";"Émile C"
"Andrés Bell";"Étienne Bonnot de Condill"
"Anna Schwartz";"Milton Friedman"
"Anthony Ashley-Cooper, 3rd Earl of Shaftesbury";"John Lock"
"Anthony Down";"Kenneth Arrow"
"Antoine Lav";"Étienne Bonnot de Condill"
"Antoine Meill";"Michel Bréal"
"Antonin Scal";"Russell Kirk"
"Antonio Canov";"Luigi Agricol"
"Antonio Labriol";"Johann Friedrich H"
"António Egas Moniz";"John Farquhar Fulton"
"Aristotl";"Zeno of El"
"Arthur Drew";"Karl Robert Eduard von Hartmann"
"Arthur Evan";"John Evans (archaeologist)"
"Arthur Holm";"Bertram Boltw"
"Arthur Koestl";"Karl Polany"
"Arthur Rackham";"John Bauer (illustrator)"
"Arthur Schopen";"Karl Christian Friedrich K"
"Arthur Schopen";"Zhu X"
"Assem Qan";"Michel Aflaq  1"
"Athanasios Asimakopul";"Joan Robinson"
"Athanasios Asimakopul";"Michał Kaleck"
"August Ludwig Hülsen";"Johann Gottlieb F"
"August Ludwig Hülsen";"Karl Leonhard Reinhol"
"August Wilhelm Schlegel";"Johann Gottfried H"
"Augusto Pin";"Milton Friedman"
"Oliver Wendell Holmes J";"Zechariah Chaf"
"Ong Kim Sen";"Lim Cheng H"
"Oswald Spengl";"Johann Joachim Winckelmann"
"Oswald Spengl";"Leo Froben"
"Otto B";"Karl Kautsky"
"Otto Hahn";"Lise Meitn"
"Owen Barfiel";"Rudolf Stein"
"P. D. Ouspensky";"Mitrofan Lodyzhensky"
"Ralph Waldo Emerson";"Michel de Montaign"
"Rand Paul";"Milton Friedman"
"Randall Collin";"Émile Durkheim"
"Randall Schwell";"Kenneth Waltz"
"Raoul Vaneigem";"Étienne de La Boé"
"Raymond Aron";"Leo S"
"Raymond Aron";"Émile C"
"René D";"Michel de Montaign"
"Richard Bandl";"John Grin"
"Richard David P";"Michael Sandel"
"Richard Doyle (illustrator)";"John Doyle (artist)"
"Richard Kahn, Baron Kahn";"Michał Kaleck"
"Richard Kearney";"John D. C"
"Richard Rorty";"Leo S"
"Richard T. Ely";"Johann Kaspar Bluntschl"
"Richard Tarn";"Rudolf Stein"
"Richard Velkley";"Leo S"
"Rick Santorum";"Russell Kirk"
"Louise Antony";"John McDowell"
"Lucien Lévy-Bruhl";"Émile Durkheim"
"A. Gareth Brenton";"John H. Beynon"
"A. V. Dicey";"Jeremy Bentham"
"Abdullah Rimaw";"Michel Aflaq  1"
"Abdus Salam";"Benjamin W. L"
"Adam Sm";"Bernard Mandevill"
"Adolf Ellegard Jensen";"Leo Froben"
"Agnes T";"Karl Robert Eduard von Hartmann"
"Aimé Cé";"Leo Froben"
"Akram al-Hawran";"Michel Aflaq  1"
"Txill";"Miguel de Unamun"
"Tzvetan Todorov";"Mikhail Bakhtin"
"Uwe Win";"Hans Diedrich Hen"
"Gideon Rosen";"Kendall Walton"
"Nureddin al-A";"Michel Aflaq  1"
"Philodem";"Zeno of Sidon"
"Brian F";"John Bauer (illustrator)"
"Bronisław Malinowsk";"Émile Durkheim"
"Bruno B";"Johann Eduard Erdmann"
"Bruno Kreisky";"Karl Kautsky"
"Bruno L";"Étienne S"
"Bruno L";"Michel S"
"Bryan M";"Karl P"
"C. I. Lew";"Johann Gottlieb F"
"C. N. R. R";"John B. Gooden"
"C. Wright Mill";"Karl Mannheim"
"Abel J. Jon";"Rudolf Christoph Eucken"
"Corrado S";"Karl Georg Christian von S"
"Allan G";"Kenneth Arrow"
"Kuno F";"Johann Eduard Erdmann"
"Kurt Gödel";"Rudolf Carn"
"Kurt Riezl";"Leo S"
"Kurt Schum";"Johann Plen"
"Kuzma Petrov-Vodkin";"Mikhail Vrubel"
"Lance Taylor (economist)";"Michał Kaleck"
"Larry Arn";"Leo S"
"Laurence Broderick";"Keith Godwin"
"Lawrence Klein";"Michał Kaleck"
"Richard Kennington";"Leo S"
"D. H. Lawren";"Lev Shestov"
"Dani Rodrik";"Karl Polany"
"Daniel Bell";"Karl Polany"
"Daniel Guérin";"Émile Arman"
"Daniel Guérin";"Mikhail Bakunin"
"David Bl";"Émile Durkheim"
"David Colquhoun";"Bernard Gin"
"David D. Friedman";"Milton Friedman"
"David D";"Karl P"
"David D";"Benjamin Graham"
"David G";"Karl Polany"
"David Hum";"John Lock"
"David J. Winelan";"Katharine Blodgett G"
"David L. Clark";"Lewis Binf"
"David Lan";"John Luke Gall"
"David Lewis (philosopher)";"Donald Cary William"
"David Malet Armstron";"John Anderson (philosopher)"
"David Stov";"John Anderson (philosopher)"
"David Stov";"Donald Cary William"
"David Webb (pharmacologist)";"Joe Collier (clinical pharmacologist)"
"Bertram Cohl";"Bernice Neugarten"
"Pat Buchanan";"Russell Kirk"
"Patrick Vallan";"Joe Collier (clinical pharmacologist)"
"Paul A. Baran";"Michał Kaleck"
"Paul Can";"Leo S"
"Paul Farm";"Rudolf Virchow"
"Paul Feyeraben";"Karl P"
"Paul Gottf";"Leo S"
"Paul Levinson";"Karl P"
"Paul Sweezy";"Michał Kaleck"
"Paul Weiss (philosopher)";"Étienne Gilson"
"Paul Wolfowitz";"Leo S"
"Pen Hadow";"Bernhard Hantz"
"Perry Anderson";"Leo S"
"Peter Berkowitz";"Leo S"
"Peter Deby";"Johannes Diderik van der Waal"
"Peter Druck";"Karl Polany"
"Peter Druck";"Russell L. Ackoff"
"Peter Kropotkin";"Mikhail Bakunin"
"Peter Medaw";"Karl P"
"Peter Medaw";"Leonard Colebrook"
"Peter Rollin";"John D. C"
"Peter Simon Pall";"Simon Pall"
"Peter Sin";"Jeremy Bentham"
"Peter Sin";"Katarzyna de Lazari-Radek"
"Robert B. Pippin";"John McDowell"
"Robert Boyd (paediatrician)";"Leonard B. Stran"
"Robert Brandom";"John McDowell"
"Robert D. Kaplan";"John Mearsheim"
"Robert Gilpin";"Kenneth Waltz"
"Robert Keohan";"Kenneth Waltz"
"Robert Novak";"Russell Kirk"
"Robert Owen";"Jeremy Bentham"
"Robin Hahnel";"Joan Robinson"
"Robin Hahnel";"Karl Polany"
"Robin Hahnel";"Michał Kaleck"
"Rodolfo Lliná";"John Eccles (neurophysiologist)"
"Roger Edwards (meteorologist)";"Donald W. B"
"Roger Pen";"John Lucas (philosopher)"
"Roger Pen";"Karl P"
"Roger Scruton";"Leo S"
"Roger Scruton";"Russell Kirk"
"Rolland Golden";"John McCrady"
"Roman Ingarden";"Kazimierz Twardowsk"
"Ron Paul";"Milton Friedman"
"Ronald Reagan";"Milton Friedman"
"Ronna B";"Leo S"
"Seth Klarman";"Benjamin Graham"
"Sextus Em";"Carn"
"Sheldon Wolin";"Leo S"
"Sigmund F";"Karl Robert Eduard von Hartmann"
"Sigmund F";"Michel de Montaign"
"Simon Saun";"Michael R"
"Simone Weil";"Émile C"
"Susan Shell";"Leo S"
"Suzanne Eaton";"Kai Simon"
"Søren Johansen";"Katarina Jusel"
"Søren Kierk";"Johann Eduard Erdmann"
"Søren Kierk";"Johann Georg Hamann"
"T. E. Lawren";"David George H"
"Takashi N";"Kenneth Arrow"
"Vicky Kal";"John Hugh Seiradak"
"Victor Cousin";"Étienne Bonnot de Condill"
"Virginia Woolf";"Michel de Montaign"
"Vitaly Ginz";"Benjamin Fain"
"Vittorio Hösl";"Hans Jon"
"Vittorio Hösl";"Karl-Otto Apel"
"Vladimir Lenin";"Karl Kautsky"
"Vol";"John Lock"
"Vol";"Michel de Montaign"
"W. D. R";"John Cook Wilson"
"Wade Davis (anthropologist)";"Timothy Plowman"
"Walter Benjamin";"Leo S"
"Walter E. William";"Milton Friedman"
"Walter Rauschen";"Johann Gottfried H"
"Wang Fuz";"Zhu X"
"Thomas G. W";"Leo S"
"Esther Dufl";"Michael Krem"
"Evald Ilyenkov";"Lev Vygotsky"
"Evelyn Underhill";"Rudolf Christoph Eucken"
"Fareed Zak";"Kenneth Waltz"
"Felix Weil";"Karl K"
"Fernand Braudel";"Émile Durkheim"
"Nassim Nicholas Tal";"Benoit Mandel"
"Nelson Goodman";"Rudolf Carn"
"Ngozi Okonjo-Iweal";"Karen R. Polensk"
"Nicholas Kal";"Joan Robinson"
"Nicholas Kal";"Michał Kaleck"
"Nicolae Tonitz";"Ștefan Luchian"
"Piero Sraff";"Michał Kaleck"
"Pierre Bayl";"Strato of Lam"
"Pierre B";"Émile Durkheim"
"Pierre Manen";"Leo S"
"Pl";"Zeno of El"
"Platon Kostiuk";"John Eccles (neurophysiologist)"
"Stanley C";"Helene D"
"Stanley Rosen";"Leo S"
"Stanley S";"Leon Festin"
"Stefan G";"Johann Joachim Winckelmann"
"Stephen Kuffl";"John Eccles (neurophysiologist)"
"Stephen Wal";"Kenneth Waltz"
"Steven Conn";"Michel S"
"Warren Buff";"Benjamin Graham"
"Wassily Kandinsky";"Rudolf Stein"
"Wilhelm Dilthey";"Johann Gottfried H"
"Wilhelm Dilthey";"Johann Gustav Droysen"
"Wilhelm Windelban";"Johann Friedrich H"
"Wilhelm von Humbol";"Johann Gottfried H"
"Wilhelm von Humbol";"Johann Gottlieb F"
"Willard Van Orman Quin";"Rudolf Carn"
"Willem Hendrik Keesom";"Johannes Diderik van der Waal"
"William A. Earl";"Karl J"
"William Daniel Phill";"Katharine Blodgett G"
"William F. Buckley J";"Milton Friedman"
"William F. Buckley J";"Russell Kirk"
"William G. Poll";"Karl Heim"
"William Galston";"Leo S"
"William Hazl";"Michel de Montaign"
"William J. Ruan";"Benjamin Graham"
"William Lane C";"Milič Čapek"
"William Shak";"Michel de Montaign"
"William T. Stearn";"John Gilmour (botanist)"
"William Thompson (philosopher)";"Jeremy Bentham"
"Willy Bran";"Karl Kautsky"
"John Etchemendy";"Gila S"
"Douglas Kelln";"Karl K"
"John N. Gray";"Michael Oak"
"Edward Nelson";"Bennett McCallum"
"Elliot Aronson";"Leon Festin"
"Emil Fackenheim";"Leo S"
"Emilie Snethl";"Émil Goel"
"Emma Goldman";"Mikhail Bakunin"
"Emmanuel Levin";"Émile Durkheim"
"E";"Zeno of Citium"
"Eric Allin Cornell";"Katharine Blodgett G"
"Eric Hoff";"Michel de Montaign"
"Eric Voegelin";"Hans Jon"
"Eric Voegelin";"Leo S"
"Ernest Emerson";"Michael Walker (knifemaker)"
"Ernest Gelln";"Karl P"
"Ernst Gom";"Karl P"
"Errico Mal";"Mikhail Bakunin"
"Hedley Bull";"John Anderson (philosopher)"
"Heike Kamerlingh Onn";"Johannes Diderik van der Waal"
"Heinrich Blü";"Karl J"
"Heinrich Hein";"Johann Joachim Winckelmann"
"Heinrich Scholz";"Bernard Bolzan"
"Helmut Schm";"Karl P"
"Henri Bergson";"Émile Durkheim"
"Henry Corbin";"Étienne Gilson"
"Henry Hazl";"Benjamin Anderson"
"Henry Ludwell M";"Karl Pearson"
"Henry Rz";"Michael J. S. Dew"
"Henry Sidgwick";"Jeremy Bentham"
"Herbert Stein";"Milton Friedman"
"Herbert Vorgriml";"Karl Rahn"
"Herman Daly";"Karl Polany"
"Hermann Lotz";"Johann Friedrich H"
"Hernando de Soto Pol";"Milton Friedman"
"Hilail Gildin";"Leo S"
"Hilma af Klin";"Rudolf Stein"
"Hipólito Yrigoyen";"Karl Christian Friedrich K"
"Moses Finley";"Karl Polany"
"Moses Mendelssohn";"Johann Heinrich Lam"
"Murray Bookchin";"Hans Jon"
"Murray R";"Étienne de La Boé"
"Mustafa Kemal Atatürk";"Ziya Gökal"
"Christine Alewin";"Karen Wetterhahn"
"John Stuart Mill";"Jeremy Bentham"
"John Tenniel";"John Doyle (artist)"
"Jon Sobrin";"Karl Rahn"
"Jonathan Dancy";"John McDowell"
"Jonathan H";"Émile Durkheim"
"Josef Dobrovský";"Johann Christoph Adelun"
"Josef P";"Johann Plen"
"Josef Steindl";"Michał Kaleck"
"Joseph Needham";"Zhu X"
"Joseph Ny";"Kenneth Waltz"
"Joseph Raz";"John Austin (legal philosopher)"
"Joseph Schum";"Johann Heinrich von Thünen"
"Joseph Stalin";"Karl Kautsky"
"Joseph Stiglitz";"Karl Polany"
"Joseph W";"Karl Herzfel"
"José Guilherme Merq";"Leszek Kołakowsk"
"José Ortega y G";"Miguel de Unamun"
"José Saram";"Michel de Montaign"
"Joxe Azurmen";"Miguel de Unamun"
"Jules Leq";"Johann Gottlieb F"
"Julia Kristev";"Mikhail Bakhtin"
"Julius Evol";"Carlo Michel"
"Jürgen Haberm";"Karl-Otto Apel"
"Jürgen Haberm";"Karl Bühl"
"Matija Vuković";"Mladen Josić"
"Maura Scannell";"Kathleen Kin"
"Maurice Blondel";"Émile Boutroux"
"Maurice Cowlin";"Michael Oak"
"Maurice Halbw";"Émile Durkheim"
"Max Adler (Marxist)";"Karl Kautsky"
"Max Schel";"Rudolf Christoph Eucken"
"Mel Bradf";"Russell Kirk"
"Michael Huem";"Peter D. Klein"
"Pan";"Zeno of Citium"
"Marc Chagall";"Mikhail Vrubel"
"Marc Lav";"Michał Kaleck"
"Marcel M";"Émile Durkheim"
"Marcus Aurel";"Zeno of Citium"
"Marcus Aurel";"Zeno of El"
"Margaret T";"Michael Oak"
"Margaret T";"Milton Friedman"
"Maria Mon";"Johann Heinrich Pestalozz"
"Mario P";"Karl Georg Christian von S"
"Mark Granov";"Karl Polany"
"Marshall Sahlin";"Karl Polany"
"Mart L";"Milton Friedman"
"Martha Nussbaum";"Leo S"
"Martin B";"Rudolf Stein"
"Martin Handf";"H. Charles McBarron J"
"Martin Schwarzschil";"Karl Schwarzschil"
"Mary Dougl";"Émile Durkheim"
"Thomas H. Jordan";"Keiiti Ak"
"Thomas Hodgskin";"Jeremy Bentham"
"Thomas Jefferson";"John Lock"
"Thomas Kuhn";"Karl P"
"Thomas Kuhn";"Émile Meyerson"
"Thomas Kuhn";"Rudolf Carn"
"Thomas Merton";"Étienne Gilson"
"Thomas P. Grazul";"Snowden D. Fl"
"Thomas Sowell";"Milton Friedman"
