"influences";"influenced"
"Jerom";"Diodorus Sicul"
"Jerry Brown";"Gregory Bateson"
"Joan Robinson";"Luigi Am"
"Johann Joachim Winckelmann";"Alexander Gottlieb Baumgarten"
"Johann Wolfgang von G";"Denis D"
"Johann Wolfgang von G";"Diogo de Carvalho e Sampay"
"Johannes Letzmann";"Alfred Wegen"
"John Adam";"Algernon Sidney"
"John Anderson (philosopher)";"Henry Jones (philosopher)"
"John C. Lilly";"Gregory Bateson"
"John Corcoran (logician)";"Alfred Tarsk"
"John Frame (theologian)";"Greg Bahnsen"
"John Grin";"Gregory Bateson"
"John Lock";"Algernon Sidney"
"John Lubbock, 1st Baron Avebury";"Charles Darwin"
"John Maynard Keyn";"Knut Wicksell"
"John Maynard Keyn";"Alfred Marshall"
"John McDowell";"Donald Davidson (philosopher)"
"Dorothea De Winton";"Caroline Pellew"
"Benoit Mandel";"Gottfried Wilhelm Leibniz"
"Benoit Mandel";"Elisabeth B"
"Bernard William";"R. M. H"
"Bernhard Riemann";"Gottfried Wilhelm Leibniz"
"Bertrand Russell";"Ludwig Wittgenstein"
"Bertrand Russell";"Gottfried Wilhelm Leibniz"
"Bertrand Russell";"Gottlob F"
"Bertrand Russell";"Alexius Meinon"
"Bertrand Russell";"Alfred North W"
"Bhikhu Parek";"Charles Taylor (philosopher)"
"Karel van Man";"Maarten van Heemskerck"
"Karl Johan Åström";"Hans Rådström"
"Karl Marx";"L"
"Karl Marx";"Ludwig F"
"Karl Marx";"Dem"
"Karl Marx";"Denis D"
"Karl Marx";"Alexander Herzen"
"Karl Marx";"Charles B"
"Karl Marx";"Charles F"
"Karl May";"Prince Maximilian of Wied-Neuw"
"Karl Polany";"Alfred Radcliffe-Brown"
"Karl P";"Gottlob F"
"Karl P";"Alfred Tarsk"
"Ken Wil";"Alfred North W"
"Ken Wil";"Charles Taylor (philosopher)"
"Kenneth Arm";"Alfred Horace G"
"Kenneth Arrow";"Léon Wal"
"Kenneth Arrow";"Alfred Tarsk"
"Kenneth E. Bouldin";"Ludwig von Bertalanffy"
"Leo S";"Maimon"
"Leo S";"R. G. Collingw"
"Leo S";"Al-F"
"Leo S";"Alexandre Kojèv"
"Leon Trotsky";"Alexander Herzen"
"Leonardo da Vin";"John Argyropoul"
"Leonhard Eul";"Gottfried Wilhelm Leibniz"
"Leonid Hurwicz";"Léon Wal"
"Lester Charles Kin";"Charles Cotton (geologist)"
"Lev Vygotsky";"Alexander Potebnj"
"Liberty Hyde Bailey";"Lucy Millington"
"Zhou Chaochen";"Dines Bjørn"
"Zygmunt Ziembińsk";"Alf R"
"Émile Arman";"Charles F"
"Émile Boutroux";"Maine de Biran"
"Émile Durkheim";"Charles Renouv"
"Étienne Bonnot de Condill";"Denis D"
"Uzō Nishiyam";"Gottfried F"
"Gila S";"Charles Parsons (philosopher)"
"Thomas T. Sekin";"Kozo Un"
"Sesshū Tōyō";"Alfred Freddy K"
"Joseph Schw";"Mahmoud Mehrmohamm"
"Shoaib Sultan Khan";"Akhtar Hameed Khan"
"Frank Macfarlane Burn";"Charles Kellaway"
"Hendrik Goltz";"Maarten van Heemskerck"
"Michael Walz";"Charles Taylor (philosopher)"
"Michel Foucaul";"Alexandre Kojèv"
"Michel Henry";"Maine de Biran"
"Michel Onfray";"Dem"
"Michel Onfray";"Diogen"
"Michel W";"Alfred North W"
"Michel de Montaign";"Py"
"Miguel F";"Dan Goldstick"
"Miguel Serran";"Léon de Poncin"
"Mikhail Bakunin";"Alexander Herzen"
"Milan Kun";"Denis D"
"Milič Čapek";"Alfred North W"
"Milton Friedman";"Knut Wicksell"
"Minoru Kan";"Charles DeL"
"Miskaway";"Al-Kin"
"Rudolf Carn";"Ludwig Wittgenstein"
"Rudolf Carn";"Gottlob F"
"Rudolf Carn";"Alfred Tarsk"
"Rudolf Stein";"Johannes Rehmk"
"Russell L. Ackoff";"Ludwig von Bertalanffy"
"Catherine Mal";"Luce Irigaray"
"Fan Kuan";"Guan Ton"
"Panagiotis Kondyl";"Dieter Hen"
"Pavel Kuznetsov";"Valentin Serov"
"Ernest L";"Donald Davidson (philosopher)"
"Louis Dumon";"Célestin Bouglé"
"Johannes Meintj";"Maggie L"
"Marsilius of Inghen";"Gregory of Rimin"
"Ruth Chan";"Derek Parf"
"Axel Leijonhufv";"Léon Wal"
"Slavoj Žižek";"Alain B"
"Slavoj Žižek";"Alenka Zupančič"
"Donald S. Gann";"Vernon Benjamin Mountcastl"
"Douglas Engel";"Vannevar B"
"Dragoslav Bokan";"Alain de Ben"
"E. E. Evans-P";"Alfred Radcliffe-Brown"
"Edgar Morin";"Kostas Axel"
"Edmund Husserl";"Gottlob F"
"Eduardo Paolozz";"Alfred Horace G"
"Edward F";"Alasdair MacInty"
"Francis Fukuyam";"Alexandre Kojèv"
"Francis Fukuyam";"Allan Bloom"
"Francis Schaeff";"Greg Bahnsen"
"Francisco Antonio Encin";"Alberto Edw"
"Francisco Fran";"Charles M"
"Franco Basagl";"Ludwig Binswan"
"Franz Klin";"Alfred Freddy K"
"Franz Rosenzw";"Maimon"
"François-Noël Babeuf";"Denis D"
"Frederic Sterling L";"Alfred Eichn"
"Friedrich Engel";"Ludwig F"
"Friedrich Engel";"Alexander Herzen"
"Friedrich Nietz";"L"
"Friedrich Nietz";"Ludwig F"
"Friedrich Nietz";"Dem"
"Friedrich Nietz";"P"
"Friedrich Nietz";"Alexander Herzen"
"Fuhito Kojim";"Akihiko Matsui (economist)"
"Fumimaro Kon";"Charles M"
"Félix G";"Gregory Bateson"
"Félix Ravaisson-Mollien";"Maine de Biran"
"G. A. Cohen";"Gilbert Ryl"
"G. E. M. Anscom";"Ludwig Wittgenstein"
"G. E. M";"Ludwig Wittgenstein"
"G. W. P";"Alexander Macfarlan"
"Galen";"Py"
"Gunnar Myrdal";"Knut Wicksell"
"Gustav Cassel";"Léon Wal"
"Gustave Caill";"Léon Bonn"
"Guy Laf";"Charles Taylor (philosopher)"
"Gérard D";"Léon Wal"
"Günter G";"Denis D"
"Hajime Tan";"Kitaro N"
"Han Ryn";"Diogen"
"Hans Eysenck";"Charles Spearman"
"Hans J";"Charles Taylor (philosopher)"
"Harold W. Kuhn";"Albert W. Tuck"
"Arcesil";"Py"
"Héctor-Neri Castañ";"Alexius Meinon"
"Héra Mirtel";"Johann Jakob Bachofen"
"Ian Hackin";"Ludwig Wittgenstein"
"Ibn Maḍāʾ";"Al-Jahiz"
"Ibn al-Haytham";"Al-Kin"
"Igor Mel'čuk";"Lucien Tesniè"
"Ilya Prigogin";"Alfred North W"
"Ilya Repin";"Vasily Perov"
"Ilya Repin";"Konstantin Korovin"
"Immanuel Kan";"Gottfried Wilhelm Leibniz"
"Immanuel Kan";"Alexander Gottlieb Baumgarten"
"Imre Lak";"R. B. Braithw"
"Ion An";"Henric Trenk"
"Isaac Israeli ben Solomon";"Al-Kin"
"Isaac Levitan";"Alexei Savrasov"
"Isaac Newton";"Maimon"
"Isaiah Berlin";"Alexander Herzen"
"Ivan Wallin";"Konstantin Mereschkowsk"
"Iwona Stroynowsk";"Charles Yanofsky"
"J. J. C. Sm";"Gilbert Ryl"
"J. L. Austin";"Gilbert Ryl"
"Jack Layton";"Charles Taylor (philosopher)"
"Jacob Lawren";"Charles Alston"
"Jacques Barzun";"Denis D"
"Jacques D";"Kostas Axel"
"Jacques D";"Alexandre Kojèv"
"Jacques Lacan";"Alexandre Kojèv"
"Jacques Maritain";"Charles M"
"James A. Michen";"Brand Blan"
"James Abbott McNeill Whistl";"Alice Pike Barney"
"James Joy";"Maimon"
"James K. A. Sm";"Charles Taylor (philosopher)"
"James Luther Adam";"Alfred North W"
"James M. Buchanan";"Knut Wicksell"
"James Tully (philosopher)";"Charles Taylor (philosopher)"
"Jay Wright F";"Ludwig von Bertalanffy"
"Samuel Hahnemann";"Dinesh Kumar Man"
"Samuel M";"Charles Grafton P"
"Samuel Scheffl";"Derek Parf"
"Sarah Teichmann";"Veronica van Heyningen"
"Saul Kripk";"Ludwig Wittgenstein"
"Saya My";"M.T. Hla (U Tun Hla)"
"Sean Dorrance Kelly";"Charles Taylor (philosopher)"
"Seraphim R";"Alan W"
"Jean Bodin";"Maimon"
"Jean Lacy";"Charles Alston"
"John Earman";"Paul Benacerraf"
"Alvin Plantin";"Luis de Molin"
"Amir Kulal";"Mohammad Baba As-Sam"
"Andreu Mas-Colell";"Birgit Grodal"
"Andrew Linzey";"Albert Schweitz"
"Andrey Yevgenyevich Lichk";"Pyotr Gannushkin"
"Andrzej Wróblewsk";"Krystyna Wróblewsk"
"André Breton";"Alexandre Kojèv"
"André Breton";"Charles F"
"Antoine-Augustin Parmen";"Guillaume-François Rouell"
"Antoine Arnaul";"Blaise Pascal"
"Antoni Zygmun";"Aleksander Rajchman"
"António de Oliveira Salaz";"Charles M"
"Archibald Hill";"Charles Scott Sherrington"
"Aristotl";"Dem"
"Arkhip Kuindz";"Alexei Savrasov"
"Arnt Eliassen";"Ragnar Fjørtof"
"Arthur Cecil P";"Alfred Marshall"
"Arthur Evan";"Minos Kalokairin"
"Arthur Jensen";"Charles Spearman"
"Arthur Schopen";"L"
"August Kun";"Knut Ångström"
"Auguste Com";"Denis D"
"Augusto Pin";"Charles M"
"Oliver Sack";"Alexander L"
"Onésimo Redon";"Léon de Poncin"
"Oscar Wil";"Alice Pike Barney"
"Oskar R. Lan";"Léon Wal"
"Ousmane Semben";"Kocc Barma Fall"
"P. F. Strawson";"Gilbert Ryl"
"Ralph McInerny";"Charles De Koninck"
"Ralph Waldo Emerson";"Alexander von Humbol"
"Raoul Dufy";"Léon Bonn"
"Raoul Vaneigem";"Charles F"
"Rastko Močnik";"Algirdas Julien Greim"
"Raymond Aron";"Léon Brunschv"
"Raymond Aron";"Alexandre Kojèv"
"Raymond Quen";"Alexandre Kojèv"
"René D";"Dickson Despomm"
"Ricardo Ramin";"Majid Sam"
"Richard Bandl";"Gregory Bateson"
"Richard Fortey";"Albert Heim"
"Richard Rorty";"Donald Davidson (philosopher)"
"Richard Sylvan";"Alexius Meinon"
"Richard Velkley";"Dieter Hen"
"Richard Webster (British author)";"Gilbert Ryl"
"Henry Rosovsky";"Alexander Gerschenkron"
"Roy A. Perian";"Andrew Streitw"
"A. C. Ewin";"Brand Blan"
"A. J. Ay";"Gilbert Ryl"
"Aaron";"Alexandre Cabanel"
"Abdel Rahman Badaw";"Alexandre Koyré"
"Ada Lovel";"Charles B"
"Adolf Hitl";"Gottfried F"
"Adolpho Duck";"Jacques H"
"Constance T";"Charles Oatley"
"Turi Kin";"Alec Jeffrey"
"Tyler B";"Donald Davidson (philosopher)"
"Pedro Henríquez Ureñ";"Alejandro Korn"
"Stephen Toulmin";"Ludwig Wittgenstein"
"Stephen Toulmin";"R. B. Braithw"
"Ullin Pl";"Gilbert Ryl"
"Xenophan";"Py"
"Gideon Rosen";"Paul Benacerraf"
"Thomas á J";"John of Ruusbroec  John of Ruusbroec  1"
"Brenda Marshall";"R. Radhakrishnan"
"Bruno B";"Ludwig F"
"Bruno L";"Algirdas Julien Greim"
"C. D. B";"Alfred North W"
"Abu Zayd al-Balk";"Al-Kin"
"Aenesidem";"Py"
"Cornelis van Haarlem";"Maarten van Heemskerck"
"Craig Calhoun";"Charles Taylor (philosopher)"
"Crispin W";"Ludwig Wittgenstein"
"Cyril B";"Charles Spearman"
"Kurt Gödel";"Gottfried Wilhelm Leibniz"
"Kurt Schumacher (sculptor)";"Ludwig G"
"Kwame Anthony A";"Charles Taylor (philosopher)"
"L. Harold DeWolf";"Edgar S. Brightman"
"Latinka Perović";"Branko Petranović"
"Laurence A. Rickel";"Ludwig Binswan"
"Lawrence Skl";"Paul Benacerraf"
"Bradford Keeney";"Gregory Bateson"
"Luca B";"Alessandro Tiarin"
"Shah Ismail Dehlv";"Shah Abdul Aziz"
"Dag Hammarskjöl";"John of Ruusbroec  John of Ruusbroec  1"
"Daniel Denn";"Ludwig Wittgenstein"
"Daniel Denn";"Gilbert Ryl"
"David Bohm";"Alfred North W"
"David Collier (political scientist)";"Guillermo O'Donnell"
"David Gal";"Albert W. Tuck"
"David G";"Bob Black"
"David Harvey";"Charles F"
"David Hum";"Gottfried Wilhelm Leibniz"
"David Mumf";"Ulf Grenan"
"David Prychitk";"Don Lav"
"David Ray Griffin";"Charles Hartshorn"
"Debiprasad Chattopadhyay";"Krishna Chandra Bhattachary"
"Pat Buchanan";"Alain de Ben"
"Patrick S";"Alfred Tarsk"
"Paul Cézann";"Charles-François Daubigny"
"Paul Feyeraben";"Ludwig Wittgenstein"
"Paul Feyeraben";"Alexandre Koyré"
"Paul Watzlawick";"Gregory Bateson"
"Pericl";"G"
"Peter Boettk";"Don Lav"
"Peter Hack";"Ludwig Wittgenstein"
"Peter Kreef";"Dietrich von Hildebran"
"Peter Kropotkin";"Charles F"
"Peter Sin";"Derek Parf"
"Peter Sin";"R. M. H"
"Peter Temin";"Alexander Gerschenkron"
"Robert A. Dahl";"Charles E. Lindblom"
"Robert Anton Wilson";"Alan W"
"Robert Brandom";"Donald Davidson (philosopher)"
"Robert Fogel";"Alfred H. Con"
"Robert G";"Al-Kin"
"Roderick Chisholm";"Alexius Meinon"
"Roger Bacon";"Al-Kin"
"Roger Edwards (meteorologist)";"Alan Moll"
"Roger J-B W";"R. Tyrrell Rockafell"
"Roger Pen";"Dennis W. Sciam"
"Roger Tory Peterson";"Ludlow Griscom"
"Roman Jakobson";"Alexander L"
"Ronald H. N";"Gordon Clark"
"Sewall W";"Alfred North W"
"Sextus Em";"Py"
"Sigmund F";"L"
"Sigmund F";"Ludwig F"
"Sigmund F";"Alexander Herzen"
"Simon Critchley";"Dominique Jan"
"Susanne Lan";"Alfred North W"
"Syed Ahmad Barelv";"Shah Abdul Aziz"
"Søren Kierk";"Diogen"
"Ted Nelson";"Vannevar B"
"Crates of T";"Diogen"
"Victor Cousin";"Maine de Biran"
"Victor Prosper Consideran";"Charles F"
"Viktor Vasnetsov";"Konstantin Makovsky"
"Vilfredo P";"Léon Wal"
"Vincent Racaniell";"Dickson Despomm"
"Virgil";"L"
"Vladimir Lenin";"Alexander Herzen"
"Vladimir Vernadsky";"Vasily Dokuchaev"
"Vol";"Gottfried Wilhelm Leibniz"
"W. H. R. Riv";"Alfred Cort Haddon"
"Waldo Rudolph Wedel";"A. T. Hill"
"Walt Whitman";"Alexander von Humbol"
"Walter Benjamin";"Charles F"
"Walter Block";"Ludwig von M"
"Walter Rauschen";"Gottfried Wilhelm Leibniz"
"Walther Penck";"Albrecht Penck"
"Levi Bryan";"Graham Harman"
"Eugène Minkowsk";"Ludwig Binswan"
"Evelyn Underhill";"John of Ruusbroec  John of Ruusbroec  1"
"F. E. McWilliam";"Alfred Horace G"
"Fazl-e-Haq K";"Shah Abdul Aziz"
"Fidel C";"Alexander Herzen"
"Nicholas R";"Gottfried Wilhelm Leibniz"
"Nicholas of C";"Procl"
"Nicolas Clémen";"Charles Bernard Desorm"
"Philip E. Vernon";"Charles Spearman"
"Philippe Pétain";"Charles M"
"Phoebus Leven";"Alexander Dianin"
"Pierre-Gilles de Genn";"Elisabeth B"
"Pierre-Joseph Proudhon";"Charles F"
"Pierre Boutan";"Charles M"
"Pierre Duhem";"Macquorn Rankin"
"Pierre Duhem";"Blaise Pascal"
"Pierre Gassen";"L"
"Pierre Jan";"Maine de Biran"
"Pl";"G"
"Pl";"P"
"Pl";"Py"
"Pope Benedict XVI";"Dietrich von Hildebran"
"Pope Leo XIII";"Luigi Taparell"
"Predrag Palav";"Dimitrije Mitrinović"
"Stan Boutin";"Charles K"
"Stanley Rosen";"Alexandre Kojèv"
"Stephen Greenbl";"L"
"Steve Bannon";"Charles M"
"Steven Horwitz";"Don Lav"
"Stewart Bran";"Gregory Bateson"
"Washington Irvin";"Alexander von Humbol"
"Wilder Penfiel";"Charles Scott Sherrington"
"Wilfrid Sell";"Gilbert Ryl"
"Wilhelm Wun";"Gottfried Wilhelm Leibniz"
"Willard Drake Johnson";"Grove Karl Gil"
"Willard Van Orman Quin";"Alfred Tarsk"
"William J. Clen";"Charles Willison Johnson"
"William Jam";"Blaise Pascal"
"William Jam";"Alexander Bain"
"William Jam";"Charles Renouv"
"William Lane C";"Luis de Molin"
"William Lane C";"Blaise Pascal"
"William Sturgeon";"Charles Grafton P"
"William of Ockham";"Henry Harclay"
"Edward John Carnell";"Gordon Clark"
"Edward N. Zal";"Alexius Meinon"
"Elias James Corey";"Dieter S"
"Ella Sophonisba Hergesheim";"Blanche Lazzell"
"Emil Fackenheim";"Maimon"
"Emma Goldman";"Alexander Herzen"
"Emmanuel Levin";"Maimon"
"Empedocl";"Py"
"Enrico Ferri (criminologist)";"Cesare Lom"
"E";"Dem"
"E";"Diogen"
"E";"Py"
"Eric Voegelin";"Alfred North W"
"Eric de Kuy";"Algirdas Julien Greim"
"Erich Leo Lehmann";"Alfred Tarsk"
"Ernst Haeckel";"Charles Darwin"
"Ernst Mally";"Alexius Meinon"
"Antisthen";"G"
"Henri Bergson";"Maine de Biran"
"Henri Bergson";"Blaise Pascal"
"Henri Lefebv";"Kostas Axel"
"Henry David T";"Alexander von Humbol"
"Henry Ludwell M";"Léon Wal"
"Henry of Langenstein";"Gregory of Rimin"
"Henryk Siemiradzk";"Konstantin Makovsky"
"Herbert M";"Charles F"
