start,end,lon,lat,shape
2022-12-09 21:30:00,2022-12-09 21:32:00,0,0,2 min
2022-12-09 20:22:00,2022-12-09 21:22:00,0,0,60 min
2022-12-09 20:20:00,2022-12-09 21:20:00,0,0,60 min
2022-12-09 17:36:00,2022-12-09 18:36:00,0,0,60 min
2022-12-09 17:28:00,2022-12-09 17:31:00,0,0,Total - 3 minutes
2022-12-09 15:30:00,2022-12-09 15:35:00,0,0,4-5 mins
2022-12-09 13:15:00,2022-12-09 13:15:00,0,0,Less than a minute.
2022-12-09 04:45:00,2022-12-09 05:10:00,0,0,25 minutes
2022-12-09 04:30:00,2022-12-09 05:15:00,0,0,45min
2022-12-09 03:30:00,2022-12-09 03:30:15,0,0,15 seconda
2022-12-08 21:18:00,2022-12-08 21:20:00,0,0,2 minutes on blured
2022-12-08 19:12:00,2022-12-08 19:17:00,0,0,Approx 5 minutes
2022-12-08 18:01:00,2022-12-08 18:03:00,0,0,1-2 minutes
2022-12-08 18:00:00,2022-12-08 23:00:00,0,0,5 hours
2022-12-08 17:45:00,2022-12-08 17:45:10,0,0,Lasted for about 10 secon
2022-12-08 17:15:00,2022-12-08 17:15:15,0,0,15 seconds
2022-12-08 15:15:00,2022-12-08 15:16:00,0,0,About 1 minute
2022-12-07 22:00:00,2022-12-07 22:00:05,0,0,5 seconds
2022-12-07 21:31:00,2022-12-07 21:31:00,0,0,unknown
2022-12-07 19:36:00,2022-12-07 19:42:00,0,0,5 to 6 min
2022-12-07 17:48:00,2022-12-07 17:48:00,0,0,Unknown
2022-12-07 17:30:00,2022-12-07 17:30:30,0,0,30 seconds
2022-12-07 16:48:00,2022-12-07 16:48:00,0,0,2 full minutes
2022-12-07 01:30:00,2022-12-07 01:30:30,0,0,30 seconds
2022-12-07 01:14:00,2022-12-07 01:24:00,0,0,Around 5 -10 mins
2022-12-06 19:34:00,2022-12-06 19:36:00,0,0,2 minutes
2022-12-06 19:17:00,2022-12-06 19:18:00,0,0,60 seconds
2022-12-06 06:45:00,2022-12-06 06:50:00,0,0,5 minutes
2022-12-06 06:41:00,2022-12-06 06:51:00,0,0,10 minutes
2022-12-06 03:16:00,2022-12-06 03:36:00,0,0,10 -20 mins
2022-12-06 03:00:00,2022-12-06 03:00:00,0,0,Never left all night
2022-12-06 02:00:00,2022-12-06 02:05:00,0,0,5 min
2022-12-06 01:30:00,2022-12-06 01:35:00,0,0,5 min
2022-12-05 20:56:00,2022-12-05 20:56:00,0,0,Not sure
2022-12-05 19:24:00,2022-12-05 19:34:00,0,0,10 minutes
2022-12-05 14:09:00,2022-12-05 14:19:00,0,0,10mns
2022-12-05 05:00:00,2022-12-05 05:10:00,0,0,5-10 minutes
2022-12-05 02:21:00,2022-12-05 02:51:00,0,0,30 minutes
2022-12-04 22:51:00,2022-12-04 23:01:00,0,0,At least 10 minutes
2022-12-04 19:22:00,2022-12-04 19:22:00,0,0,idk what that means sorry
2022-12-04 12:47:00,2022-12-04 12:47:00,0,0,idk what that means sorry
2022-12-04 12:25:00,2022-12-04 12:27:00,0,0,2 min
2022-12-04 11:24:00,2022-12-04 11:26:00,0,0,2 min
2022-12-04 08:54:00,2022-12-04 08:57:00,0,0,3 min
2022-12-04 04:00:00,2022-12-04 04:00:35,0,0,35 sec
2022-12-04 01:04:00,2022-12-04 01:20:00,0,0,16 minutes
2022-12-03 22:00:00,2022-12-03 22:16:00,0,0,16 minutes
2022-12-03 21:50:00,2022-12-03 21:50:26,0,0,26 sec
2022-12-03 20:26:00,2022-12-03 20:26:03,0,0,3 seconds
2022-12-03 02:00:00,2022-12-03 02:00:45,0,0,About 45 seconds
2022-12-03 00:05:00,2022-12-03 05:05:00,0,0,5 Minutes
2022-12-02 22:34:00,2022-12-02 22:34:00,0,0,Seconds
2022-12-02 22:31:00,2022-12-02 22:31:00,0,0,Ongoing
2022-12-02 22:18:00,2022-12-02 22:18:00,0,0,Only a few seconds
2022-12-02 22:11:00,2022-12-02 22:31:00,0,0,10-20 minutes
2022-12-02 20:20:00,2022-12-02 20:25:00,0,0,5 mins of hovering
2022-12-02 20:00:00,2022-12-02 20:05:00,0,0,First spotted 5 minutes
2022-12-02 19:35:00,2022-12-02 19:40:00,0,0,First spotted 5 minutes
2022-12-02 19:15:00,2022-12-02 20:00:00,0,0,30 to 45 minutes
2022-12-02 13:15:00,2022-12-02 13:15:30,0,0,Maybe 30 seconds
2022-12-02 07:34:00,2022-12-02 07:37:00,0,0,3 minutes
2022-12-02 04:45:00,2022-12-02 05:15:00,0,0,Aproximatly 20-30 min
2022-12-02 03:56:00,2022-12-02 04:01:00,0,0,5 min
2022-12-01 19:35:00,2022-12-01 19:35:04,0,0,3-4 seconds
2022-12-01 19:33:00,2022-12-01 19:33:10,0,0,10 seconds
2022-12-01 19:33:00,2022-12-01 19:33:15,0,0,10-15 seconds max
2022-12-01 18:45:00,2022-12-01 18:45:15,0,0,10-15 seconds max
2022-12-01 18:30:00,2022-12-01 18:30:00,0,0,2 nights
