"influences";"influenced"
"George Bernard Shaw";"Arthur Schopen"
"George B";"Arthur Oncken Lovejoy"
"George Bool";"Andrzej Grzegorczyk"
"George Croom Robertson";"Alexander Bain (philosopher)"
"George Dantz";"Wassily Leontief"
"George Dickie (philosopher)";"Arthur Dan"
"George Emil Pal";"Albert Cl"
"George Henry Lew";"Auguste Com"
"George Kl";"W. Ross Ashby"
"George Lakoff";"Benjamin Lee Whorf"
"George Perkins M";"Alexander von Humbol"
"George Santayan";"Dem"
"George Santayan";"Arthur Schopen"
"George S";"Alexius Meinon"
"Georges Bataill";"Alexandre Kojèv"
"Georgy Shchedrovitsky";"Alexander Zinoviev"
"Ha-Joon Chan";"Amartya Sen"
"Halton A";"Viktor Ambartsumian"
"Hamilton H";"Joseph Barcrof"
"Han Ryn";"Diogen"
"Hannah Aren";"Walter Benjamin"
"Hannah Aren";"Hans Jon"
"Hans-Georg Gadam";"Thomas Pruf"
"Hans-Wilhelm Knobl";"Diederich Hinrichsen"
"Hans Georg Dehmel";"Walter Gordy"
"Hans Hunzik";"Auguste Forel"
"Hans Vaihin";"Arthur Schopen"
"Harold Bloom";"Hans Jon"
"Harold W. Kuhn";"Albert W. Tuck"
"Harriet Martin";"Auguste Com"
"Sam H";"Daniel Denn"
"Sam H";"David Chalm"
"Samuel Beck";"Arthur Schopen"
"Samuel Hahnemann";"Dinesh Kumar Man"
"Samuel Scheffl";"Derek Parf"
"Søren Johansen";"David Forbes Hendry"
"Søren Kierk";"Diogen"
"Talcott Parson";"Alfred North W"
"Tara Smith (philosopher)";"W. D. R"
"Ted Ringw";"Victor Goldschmidt  Victor Moritz Goldschmidt  1"
"Wendell Meredith Stanley";"Dmitri Ivanovsky"
"Wilhelm Dilthey";"Arthur Schopen"
"Willard Van Orman Quin";"Alfred North W"
"Willard Van Orman Quin";"Alfred Tarsk"
"William Cullen";"Andrew Plumm"
"William Healey Dall";"Augustus Addison Goul"
"William Henry Harvey";"Amelia Griff"
"William Henry Perkin";"August Wilhelm von Hofmann"
"William J. Ruan";"Benjamin Graham"
"William Jam";"David Hartley (philosopher)"
"William Jam";"David Hum"
"William Jam";"Alexander Bain (philosopher)"
"William Lane C";"Alvin Plantin"
"William S. B";"Alfred Korzybsk"
"Elizabeth Grosz";"Alphonso Lin"
"Gilbert Ryl";"Arthur Schopen"
"Gilbert Ryl";"Bernard Bolzan"
"Mulla S";"Al-F"
"Richard S";"Walter Kaufmann (philosopher)"
"Theodor R";"Vasile P"
"Jean-Marie Eveill";"Benjamin Graham"
"Terence Parson";"Alexius Meinon"
"Anne Martin (rower)";"David F. Swensen"
"Anthony Ludov";"Arthur Schopen"
"Antoni Zygmun";"Aleksander Rajchman"
"Archelaus (philosopher)";"Anax"
"Aristotl";"Alcmaeon of Croton"
"Aristotl";"Dem"
"Arnold Davidson";"Vladimir Jankélév"
"Arnold Schoen";"Arthur Schopen"
"Emil Cioran";"Arthur Schopen"
"Emma Goldman";"Alexander Herzen"
"Emmanuel Levin";"Vladimir Jankélév"
"E";"Dem"
"E";"Diogen"
"Eric Voegelin";"Hans Jon"
"Eric Voegelin";"Alfred North W"
"Eric de Kuy";"Algirdas Julien Greim"
"Erich Leo Lehmann";"Alfred Tarsk"
"Ernst Haeckel";"Alexander von Humbol"
"Ernst Mally";"Alexius Meinon"
"Ervin László";"Alfred North W"
"Erving Goffman";"W. Lloyd Warn"
"Erwin Schrödin";"Arthur Schopen"
"Esther Dufl";"Amartya Sen"
"Ettore Majoran";"Arthur Schopen"
"Eudoxus of Cn";"Archy"
"Eugen Bleul";"Auguste Forel"
"Gerard 't Hoof";"Benjamin W. L"
"Gershom Scholem";"Walter Benjamin"
"Gilles Deleuz";"David Hum"
"Gilles Deleuz";"Alfred North W"
"Giorgio Agamben";"Walter Benjamin"
"Giorgio Agamben";"Alexandre Kojèv"
"Gonzalo Vial C";"Alberto Edw"
"Gordon Pask";"Heinz von F"
"Gottlob F";"Benno Kerry"
"Gottlob F";"Bernard Bolzan"
"Mao Zedon";"Alexander Herzen"
"Marc Fleurbaey";"Amartya Sen"
"Marcel M";"Denise Paulm"
"Marcel P";"Arthur Schopen"
"Margaret Morse N";"Althea Sherman"
"Margaret T";"Alan Wal"
"Margaret T";"Arthur Seldon"
"Margarita Sal";"Alberto Sol"
"Marie-Anne L";"Augustin Pyramus de Candoll"
"Marquis de S";"Bernard Mandevill"
"Marsilio Ficin";"John Argyropoul"
"Martha Nussbaum";"Amartya Sen"
"Martha Nussbaum";"Diogen"
"Martha Nussbaum";"Bernard William"
"Martin H";"Anaximan"
"Martin L";"Hugolino of Orv"
"Pietro Pomponazz";"Alexander of A"
"Pietro Pomponazz";"Av"
"Plotin";"Alexander of A"
"Pl";"Aenesidem"
"Pl";"Arcesil"
"Pl";"Alcmaeon of Croton"
"Polemon (scholarch)";"Xen"
"Polizian";"John Argyropoul"
"Pope Benedict XVI";"Dietrich von Hildebran"
"Prasanta Pattanaik";"Amartya Sen"
"Predrag Palav";"Dimitrije Mitrinović"
"Philippe DeVill";"Walter F. Buckley"
"Henry Meulen";"Benjamin Tuck"
"Jane Mendill";"David F. Swensen"
"Jean-François Melon";"Bernard Mandevill"
"Mark Johnston (philosopher)";"David Lewis (philosopher)"
"Marsilius of P";"Av"
"Michele M";"Andrea Cesalpin"
"Panayot Butchvarov";"Alexius Meinon"
"Rolandas Pavilion";"Algirdas Julien Greim"
"Pedro Henríquez Ureñ";"Alejandro Korn"
"Henry of Ghen";"Walter of B"
"Johannes Schmidt (linguist)";"August Schl"
"Ruth Chan";"Derek Parf"
"Grigor M";"Anania Shirak"
"Jean Bodin";"Andrzej Frycz Modrzewsk"
"Peter H. Ammon";"David F. Swensen"
"Boris Karvasarsky";"Vladimir Nikolayevich Myasishchev"
"Brad Hook";"Derek Parf"
"Braj Kumar N";"Vera Anstey"
"Brian Davies (philosopher)";"Alvin Plantin"
"Bruno L";"Algirdas Julien Greim"
"Bryan Caplan";"David D. Friedman"
"Buckminster Full";"Alfred Korzybsk"
"Adolf Meyer (psychiatrist)";"Auguste Forel"
"Adolf Noreen";"August Leskien"
"Jacques Barzun";"Denis D"
"Jacques D";"Vladimir Jankélév"
"Jacques D";"Walter Benjamin"
"Jacques D";"Alexandre Kojèv"
"Jacques Fontanill";"Algirdas Julien Greim"
"Jacques Lacan";"Daniel L"
"Jacques Lacan";"Alexandre Kojèv"
"James David F";"David Brew"
"James Franck";"Arthur R. von Hippel"
"James Luther Adam";"Alfred North W"
"James Madison";"David Hum"
"James Mill";"David Hartley (philosopher)"
"James Tobin";"Alvin Hansen"
"Jan Baudouin de Courtenay";"August Leskien"
"Jan Narveson";"David G"
"Jason Brennan";"David Schmidtz"
"Jean-Jacques R";"David Hum"
"Jean-Paul S";"Alexander Herzen"
"Jean-Paul S";"Alexandre Kojèv"
"Jean Cavaillè";"Bernard Bolzan"
"Jean Drèz";"Amartya Sen"
"Jean Philibert Damiron";"Victor Cousin"
"Jean P";"Alfred Bin"
"Katherine Hol";"Allen J. B"
"Katherine Poll";"David Haussl"
"Kaushik B";"Amartya Sen"
"Kazimierz Twardowsk";"Benno Kerry"
"Kazimierz Twardowsk";"Bernard Bolzan"
"Keith J";"Arthur Seldon"
"Ken Wil";"Alfred North W"
"Kenneth Arrow";"Alfred Tarsk"
"Kevin Mulligan";"Bernard Bolzan"
"Maurice All";"Vilfredo P"
"Maurice Merleau-Ponty";"Alexandre Kojèv"
"Maurice Merleau-Ponty";"Alfred North W"
"Max Born";"Arthur R. von Hippel"
"Max Cresswell";"Arthur P"
"Max Horkheim";"Arthur Schopen"
"Max Stirn";"Diogen"
"Maxie Clarence Maultsby J";"Alexander L"
"Meher B";"Hazrat Babajan"
"Charles de Rém";"Victor Cousin"
"Rainer F";"Axel Honn"
"Rainer Maria Rilk";"Arthur Schopen"
"Ralph Waldo Emerson";"Victor Cousin"
"Ralph Waldo Emerson";"Alexander von Humbol"
"Rastko Močnik";"Algirdas Julien Greim"
"Raymond Aron";"Alexandre Kojèv"
"Raymond G";"Bernard William"
"Raymond Quen";"Alexandre Kojèv"
"René D";"Dickson Despomm"
"Diogenes of Apollon";"Anaximenes of Mil"
"Jean-Louis Berlan";"Augustin Pyramus de Candoll"
"Thomas Baumgartn";"Walter F. Buckley"
