"influences";"influenced"
"Slavoj Žižek";"Fredric Jameson"
"Slavoj Žižek";"Friedrich Wilhelm Joseph Schellin"
"Slavoj Žižek";"Georg Wilhelm Friedrich Hegel"
"Domingo de S";"Francisco de V"
"Harry Oldmeadow";"Frithjof Schuon"
"Nick Srnicek";"François Laruell"
"Heinrich August W";"Georg Gottlob R"
"Russ Parson";"Harold McG"
"Karl Fortl";"Friedrich Eduard Benek"
"Cornel W";"Søren Kierk"
"Cornelius C";"Gaston Bachel"
"Cornelius Van Til";"Friedrich Wilhelm Joseph Schellin"
"Cosimo de' M";"Gemistos Plethon"
"Curtis Yarvin";"Hans-Hermann H"
"Gregor Mendel";"Franz Un"
"Guillaume-François Le Trosn";"François Quesnay"
"Gustavo Buen";"Francisco Suárez"
"Gustavo Buen";"Georg Wilhelm Friedrich Hegel"
"Guy D";"Georges Bataill"
"György Luká";"Georg Simmel"
"György Luká";"Georg Wilhelm Friedrich Hegel"
"H. Richard N";"George Herbert M"
"H. Richard N";"Søren Kierk"
"Heinrich Rick";"Wilhelm Windelban"
"Helias Doundoulak";"George Doundoulak"
"Henri Bergson";"Félix Ravaisson-Mollien"
"Henri Poincaré";"George William Hill"
"Henri de L";"Søren Kierk"
"Henrik Ibsen";"Søren Kierk"
"Henry Calvert Simon";"Frank Kn"
"Henry G";"François Quesnay"
"Henry Hazl";"Friedrich Hayek"
"Henry Kissin";"Halford Mackin"
"Henry Mill";"George Gurdjieff"
"Herbert A. Simon";"Bertrand Russell"
"Herbert Blum";"George Herbert M"
"Herbert Gin";"Samuel Bowles (economist)"
"Herbert M";"Georg Wilhelm Friedrich Hegel"
"Hermann Cohen";"Friedrich Adolf Trendelen"
"Hermann Cohen";"Friedrich Albert Lan"
"Heston Blumenthal";"Harold McG"
"Hilary Putnam";"Bertrand Russell"
"Hilda Ormsby";"Halford Mackin"
"Madison Gran";"Georges Vacher de L"
"Malcolm H. Chisholm";"Geoffrey Wilkinson"
"Manfred Frank";"Friedrich Schleierm"
"Manuel Belgran";"François Quesnay"
"Brian Massum";"Félix G"
"Richard Dawkin";"Bertrand Russell"
"Richard Dawkin";"George Christopher William"
"Richard L. Hoffman";"Harold F. Loom"
"Richard Owen";"Georges Cuv"
"Richard R. Schrock";"Frederick N. T"
"Richard R. Schrock";"George Parshall"
"Richard Rorty";"Wilfrid Sell"
"Richard Timberlak";"Friedrich Hayek"
"Robert B. Pippin";"Georg Wilhelm Friedrich Hegel"
"Robert Brandom";"Georg Wilhelm Friedrich Hegel"
"Robert Brandom";"Wilfrid Sell"
"Robert C. Solomon";"Frithjof Bergmann"
"Robert Dorfman";"George Dantz"
"Robert Döpel";"Werner Heisen"
"Robert J. Shill";"Franco Modiglian"
"Robert J. Shill";"George Akerlof"
"Robert Michel";"Georges Sorel"
"Rogelio Salmon";"Gaston Bachel"
"Roger Horn";"Gene H. Gol"
"Roger Scruton";"G. E. M. Anscom"
"Roger Scruton";"Søren Kierk"
"Roland B";"Georges Bataill"
"Roland G. Fryer J";"Gary Beck"
"Rollo May";"Søren Kierk"
"Clark Warburton";"Wesley Clair Mitchell"
"Hugo G";"Francisco de V"
"Leo Schay";"Frithjof Schuon"
"J. David Velleman";"Harry Frankf"
"J. H. M";"T. H. Green"
"Katerina Kolozov";"François Laruell"
"F. H. Bradley";"Georg Wilhelm Friedrich Hegel"
"F. H. Bradley";"T. H. Green"
"Barry Lon";"George Gurdjieff"
"Jeremy Bentham";"Francis Hutcheson (philosopher)"
"Jocelyn Bell Burnell";"Fred Hoyl"
"Johann Gottlieb F";"Friedrich Heinrich J"
"Johann Spurzheim";"Franz Joseph Gall"
"Johann Wolfgang von G";"Friedrich Wilhelm Joseph Schellin"
"John Allen William";"Sam C. Sarkesian"
"John Anderson (philosopher)";"Samuel Alexan"
"John Anthony W";"George Gurdjieff"
"John Cook Wilson";"T. H. Green"
"John D. C";"Søren Kierk"
"John Dewey";"George Herbert M"
"John Dewey";"George Sylvester M"
"John Dewey";"T. H. Green"
"John Forbes Nash J";"Bert F. Hoselitz"
"John Hick";"Friedrich Hayek"
"Leland B. Y";"Friedrich Hayek"
"Lenora Fulan";"Fred Newman (philosopher)"
"Leo S";"Franz Rosenzw"
"Leo S";"Friedrich Heinrich J"
"Leo S";"Georg Wilhelm Friedrich Hegel"
"Leo S";"Hans-Georg Gadam"
"Leonid Hurwicz";"George Dantz"
"Leopold Gmelin";"Friedrich Stromey"
"Lev Shestov";"Søren Kierk"
"Lewis A. C";"Georg Simmel"
"Lewis E. Kay";"G. Marius Cl"
"Li Shanchan";"Han F"
"Nicholas J. Spykman";"Halford Mackin"
"Nicholas of C";"Gemistos Plethon"
"Nick Lan";"Félix G"
"Nick Lan";"Georges Bataill"
"Nick Lan";"Hans-Hermann H"
"Nicolas Abraham";"Sándor Ferencz"
"Nicolas Desm";"Georges-Louis Leclerc, Comte de Buffon"
"Niels B";"Harald Høffdin"
"Paulo F";"Tan Malak"
"Pen Hadow";"Bernhard Hantz"
"Pentti Eskol";"Wilhelm Ramsay"
"Pervez Hoodbhoy";"Bertrand Russell"
"Pervez Musharraf";"Syed Ahmad Khan"
"Peter Bl";"George C. Homan"
"Peter Boettk";"Hans Sennholz"
"Peter Brook";"George Gurdjieff"
"Peter Hack";"Georg Henrik von W"
"Philip Sheppard (biologist)";"Geoffrey Douglas Hale Carpen"
"Philip S";"Frithjof Schuon"
"Philip Wolfe (mathematician)";"George Dantz"
"Philippa F";"G. E. M. Anscom"
"Pierre-Joseph Proudhon";"Georg Wilhelm Friedrich Hegel"
"Pierre Bayl";"Francisco San"
"Pierre B";"Gaston Bachel"
"Pierre B";"Georges Canguilhem"
"Pierre Boutan";"Gabriel Marcel"
"Pierre Gassen";"Franciscus P"
"Pierre H";"Félix Ravaisson-Mollien"
"Pierre Samuel du Pont de Nem";"François Quesnay"
"Procl";"Syrian"
"Qalandar Baba Auliy";"Tajuddin Muhammad Badruddin"
"Qin Shi Huan";"Han F"
"R. G. Collingw";"Georg Wilhelm Friedrich Hegel"
"R. G. Collingw";"Harold H. Joachim"
"R. G. Collingw";"Wilhelm Dilthey"
"R. Tyrrell Rockafell";"Werner Fenchel"
"Rachel Carson";"Frank Edwin Egl"
"Radhanath Sik";"George Ev"
"Theodor W. Adorn";"Georg Wilhelm Friedrich Hegel"
"Theodor W. Adorn";"Søren Kierk"
"Thomas A. Steitz";"Frederic M. R"
"Thomas Hazl";"Harvey J. Levin"
"Thomas Kuhn";"Bertrand Russell"
"Thomas Merton";"Frithjof Schuon"
"Thomas Merton";"Søren Kierk"
"Thomas Nagel";"G. E. M. Anscom"
"Thomas Nagel";"T. M. Scanlon"
"Thomas Sowell";"Friedrich Hayek"
"Titus Burck";"Frithjof Schuon"
"Tjalling Koopman";"George Dantz"
"Tom W";"Hans-Hermann H"
"Tommaso Campanell";"Franciscus P"
"Wolfgang Drechsl";"Hans-Georg Gadam"
"Wolfgang Sm";"Frithjof Schuon"
"Xi Jinpin";"Han F"
"Friedrich Ueberw";"Friedrich Eduard Benek"
"Friedrich Ueberw";"Friedrich Schleierm"
"Luigi Pareyson";"Friedrich Wilhelm Joseph Schellin"
"Theodore Meliten";"Al-Khazin"
"Lois Holzman";"Fred Newman (philosopher)"
"Edith Pen";"Fritz Machl"
"Edmund Burk";"Francisco de V"
"Edmund Husserl";"Franz Brentan"
"Edmund Husserl";"Wilhelm Windelban"
"Edmund Ruffin";"George Fitz"
"Eduard Bernstein";"Friedrich Albert Lan"
"Eduard Pfeiff";"Franz Hermann Schulze-Delitz"
"Eduard von Hartmann";"Friedrich Wilhelm Joseph Schellin"
"Edward Laumann";"George C. Homan"
"Edward S";"Bertrand Russell"
"Edwin Griswold N";"Gardiner Mean"
"Eli Noam";"Harvey J. Levin"
"Elinor Ostrom";"Friedrich Hayek"
"Elizabeth S. Anderson";"Bernard William"
"Ellen Churchill Sempl";"Friedrich Ratzel"
"Julia Wilson (scientist)";"Fran Balkwill"
"Julian Schwin";"George Green (mathematician)"
"Julius Evol";"Georg Wilhelm Friedrich Hegel"
"Julius Evol";"Georges Sorel"
"Józef Maria Hoene-Wrońsk";"Georg Wilhelm Friedrich Hegel"
"Jörg Guido Hülsmann";"Frank Van Dun"
"Jörg Guido Hülsmann";"Hans-Hermann H"
"Jürgen Haberm";"Friedrich Wilhelm Joseph Schellin"
"Jürgen Haberm";"George Herbert M"
"Jürgen Haberm";"Hans-Georg Gadam"
"Jürgen Haberm";"Wilhelm Dilthey"
"Karen B";"Samuel Devon"
"Karl-Otto Apel";"Georg Henrik von W"
"Karl B";"Friedrich Schleierm"
"Karl B";"Søren Kierk"
"Karl Christian Friedrich K";"Friedrich Wilhelm Joseph Schellin"
"Karl Haushof";"Halford Mackin"
"Karl J";"Hans-Georg Gadam"
"Karl J";"Søren Kierk"
"Karl J";"Wilhelm Dilthey"
"Karl Leonhard Reinhol";"Salomon Maimon"
"Karl Marx";"Georg Wilhelm Friedrich Hegel"
"Karl Polany";"Werner Som"
"Karl P";"Bertrand Russell"
"Karl P";"Friedrich Hayek"
"Lorenz von Stein";"Georg Wilhelm Friedrich Hegel"
"Louis Agassiz";"Georges Cuv"
"Louis Al";"Gaston Bachel"
"Louis Al";"Georges Canguilhem"
"Louis Guilloux";"Georges Palan"
"Louis Lavell";"Félix Ravaisson-Mollien"
"Louis Mountbatten, 1st Earl Mountbatten of Burm";"Syed Ahmad Khan"
"Lucy Suchman";"Harold Garfinkel"
"Ludwig E";"Franz Oppenheim"
"Ludwig E";"Friedrich Hayek"
"Ludwig F";"Friedrich Heinrich J"
"Ludwig F";"Georg Wilhelm Friedrich Hegel"
"Ludwig Wittgenstein";"Bertrand Russell"
"Ludwig Wittgenstein";"Frank Ramsey (mathematician)"
"Ludwig Wittgenstein";"G. E. M"
"Ludwig Wittgenstein";"Søren Kierk"
"Ludwig Woltmann";"Georges Vacher de L"
"Luigi Luzz";"Franz Hermann Schulze-Delitz"
"Oets Kolk Bouwsm";"Søren Kierk"
"Oksana Zabuzhk";"George Shevelov"
"Otto Rank";"Sándor Ferencz"
"Seymour G";"Harold Hotellin"
"Seyyed Hossein N";"Frithjof Schuon"
"Sheikh Mujibur Rahman";"Bertrand Russell"
"Sidney Hook";"Bertrand Russell"
"Sigmund F";"Franz Brentan"
"Sigmund F";"Friedrich Wilhelm Joseph Schellin"
"Sigmund F";"Sabina Spielrein"
"Sigmund F";"Sándor Ferencz"
"Sigmund F";"Søren Kierk"
"Sigmund F";"Wilhelm Wun"
"Srinivasa Ramanujan";"G. H. Hardy"
"Stanisław Brzozowski (writer)";"Georges Sorel"
"Stanley Cavell";"Bernard William"
"Stephen Hawkin";"Bertrand Russell"
"Ehud Gaz";"George M. W"
"Eric Barn";"Wilfred Stein"
"Eric Santn";"Franz Rosenzw"
"Lynne Rossetto K";"Harold McG"
"Pamela Hieronym";"Harry Frankf"
"Pamela Hieronym";"T. M. Scanlon"
"R";"George Campbell (minister)"
"Josephine Ball";"Frank A. B"
"Huston Sm";"Frithjof Schuon"
"Ihsan A";"George Houran"
"Immanuel Hermann F";"Friedrich Wilhelm Joseph Schellin"
"Immanuel Kan";"Georg Friedrich M"
"Imre Lak";"George Póly"
"Knud Ejler Lø";"Hans L"
"Kuno F";"Georg Wilhelm Friedrich Hegel"
"Kurt Grellin";"Bertrand Russell"
"Kurt Gödel";"Bertrand Russell"
"Kurt Vonn";"Bertrand Russell"
"Michael Al";"Bertrand Russell"
"Michael Balin";"Sándor Ferencz"
"Michael Dumm";"G. E. M. Anscom"
"Michael H. Ston";"Harold Searl"
"Michael H";"Félix G"
"Michael Katehak";"George Doundoulak"
"Michael Lynch (ethnomethodologist)";"Harold Garfinkel"
"Michael M. Gottesman";"Wilfred Stein"
"Michael Oak";"Harold H. Joachim"
"Michael Williams (philosopher)";"Wilfrid Sell"
"Michel Aflaq";"Georges Sorel"
"Michel Bréal";"Franz B"
"Michel Foucaul";"Gaston Bachel"
"Michel Foucaul";"Georges Bataill"
"Michel Foucaul";"Georges Canguilhem"
"Michel L";"Georges Bataill"
"Michel Onfray";"Georges Bataill"
"Michel Onfray";"Georges Palan"
"Michel Onfray";"Han Ryn"
"Michel S";"Gaston Bachel"
"Michihiro Kan";"Takashi N"
"Miguel Serran";"Francisco Antonio Encin"
"Miguel de Unamun";"Søren Kierk"
"Mikhail Bakunin";"Georg Wilhelm Friedrich Hegel"
"Milton Friedman";"Frank Kn"
"Milton Friedman";"Friedrich Hayek"
"Milton Friedman";"Harold Hotellin"
"P. L. Trav";"George Gurdjieff"
"Patricia A. Wheel";"Wheeler J. N"
"Paul Churchlan";"Wilfrid Sell"
"Paul Kurtz";"Bertrand Russell"
"Paul Ricœ";"Félix Ravaisson-Mollien"
"Paul Ricœ";"Gabriel Marcel"
"Paul Roberts Cannon";"Harry Gideon Well"
"Paul Samuelson";"George Dantz"
"Paul Till";"Friedrich Schleierm"
"Paul Till";"Friedrich Wilhelm Joseph Schellin"
"Paul Till";"Søren Kierk"
"Christian Gottfried Daniel Nees von Esenbeck";"Friedrich Wilhelm Joseph Schellin"
"Christian Hermann W";"Friedrich Wilhelm Joseph Schellin"
"Christian Thom";"Samuel von Pufendorf"
"Roman Rybarsk";"Georges Sorel"
"Ron Paul";"Hans Sennholz"
"Ronald C";"Frank Kn"
"Ronald C";"Friedrich Hayek"
"Ross Ul";"Samuel Edward Konkin III"
"Rudolf Bultmann";"Friedrich Schleierm"
"Rudolf Carn";"Bertrand Russell"
"Rudolf Christoph Eucken";"Friedrich Adolf Trendelen"
"Rudolf Stein";"Franz Brentan"
"Rudolf Stein";"Wilhelm Dilthey"
"Russell Kirk";"George Santayan"
"David O. Meltz";"Gary Beck"
"David S";"Georg Wilhelm Friedrich Hegel"
"İoanna Kuç";"Hans Reichen"
"Eugen Dührin";"Georges Vacher de L"
"George Dod Armstron";"George Fitz"
"George Hermonym";"Gemistos Plethon"
"Otto Ammon";"Georges Vacher de L"
"Michael O. Fitzgeral";"Frithjof Schuon"
"Paolo Oran";"Georges Sorel"
"Nicolas B";"François Quesnay"
"Toby Gibson";"Sydney Brenn"
"Yongzheng Em";"Han F"
"Yves Con";"Søren Kierk"
"Zbigniew Brzezinsk";"Halford Mackin"
"Zhang Juzhen";"Han F"
"Zhuge Lian";"Han F"
"Ziauddin Ahm";"Syed Ahmad Khan"
"Zubaida Jalal Khan";"Syed Zahoor Shah Hashm"
"Édouard B";"Georges Sorel"
"Shirley C";"Harold McG"
"Kurt Sin";"Georg Friedrich Kn"
"Mark Lan";"Wilfrid Sell"
"Thornton Stringfellow";"George Fitz"
"Thomas L. Saaty";"George Dantz"
"Allen Buchanan";"Stephen Darwall"
"Alphonso Lin";"Emmanuel Levin"
"Amartya Sen";"Ester B"
"Amartya Sen";"Martha Nussbaum"
"Anatol Zhabotinsky";"Boris Belousov (chemist)"
"Anaximan";"Thales of Mil"
"Anaximenes of Mil";"Thales of Mil"
"Andrew Wil";"Ernst Sejersted Selm"
"Dam";"Plotin"
"Daniel Denn";"Willard Van Orman Quin"
"Daniel Denn";"Gilbert Ryl"
"David Bl";"Mary Dougl"
"David Collier (political scientist)";"Giovanni S"
"David G. H";"Martha Nussbaum"
"David G";"Marcel M"
"David Gregory (mathematician)";"James Gregory (mathematician)"
"David Hum";"E"
"David Hum";"Gottfried Wilhelm Leibniz"
"David Lewis (philosopher)";"Willard Van Orman Quin"
"David Mumf";"Ulf Grenan"
"David Waltz";"Marvin Minsky"
"Arcesil";"Polemon (scholarch)"
"Arete of Cyren";"A"
"A";"Pl"
"Aristippus the Youn";"A"
"Vernard Ell";"Jacques Ellul"
"Vincenzo Di Nicol";"Mara Selvini Palazzol"
"Vittorio Hösl";"Giambattista V"
"Vladimir Lenin";"Antonie Pannekoek"
"Vol";"E"
"Vol";"Gottfried Wilhelm Leibniz"
"Vol";"Jean-François Melon"
"W. Arthur Lew";"Arnold Plan"
"W. E. B. Du B";"William Jam"
"W. Edwards Demin";"William Sealy G"
"Walker Percy";"Eric Voegelin"
"Wallace John Eck";"Ernest William Brown"
"Walter Benjamin";"Ernst Bl"
"Walter Benjamin";"Gershom Scholem"
"Walter Kaufmann (philosopher)";"Martin B"
"Walter Rauschen";"Gottfried Wilhelm Leibniz"
"Walther Penck";"William Morris Dav"
"Simplicius of Cil";"Plotin"
"Jason of Ny";"Posidon"
"Jean Beauf";"Martin H"
"Jennifer Stow";"Marilyn Farq"
"Manuel DeLan";"Gilles Deleuz"
"Albert Borgmann";"Martin H"
"Alcinous (philosopher)";"Pl"
"Denis D";"Guillaume-François Rouell"
"Denis D";"Jean-François Melon"
"Dick Higgin";"Marshall McLuhan"
"Diodorus Sicul";"Poly"
"Diodorus Sicul";"Posidon"
"Diogen";"Antisthen"
"Wilhelm Kienzl";"Ernst M"
"Ernesto Bal";"Ernst Bl"
"Johann Karl Friedrich Zölln";"William Crook"
"Éric Laurent (psychoanalyst)";"Jacques Lacan"
"Hans Jon";"Gershom Scholem"
"Hans Jon";"Martin H"
"Al-Kin";"Plotin"
"Alain B";"Gilles Deleuz"
"Alain B";"Jacques Lacan"
"Alain Finkielk";"Emmanuel Levin"
"Albert Cam";"Giacomo L"
"Albert Einstein";"Ernst M"
"Albert Hofmann";"Ernst von B"
"Aleksandr Dugin";"Martin H"
"Alexander Hamilton";"Emer de Vattel"
"Alexander Monro (primus)";"William Cheselden"
"Alfred Landé";"William Duane (physicist)"
"Alfred North W";"William Davidson Niven"
"Alfred North W";"William Jam"
"Alfred Schütz";"William Jam"
"Alfred Tarsk";"Gottfried Wilhelm Leibniz"
"Arrian";"Pl"
"Arrian";"Poly"
"Arthur Drew";"Plotin"
"Arthur Drew";"Bruno B"
"Arthur Schopen";"Giacomo L"
"Arthur Schopen";"Plotin"
"Arthur Seldon";"Arnold Plan"
"Augustin Pyramus de Candoll";"Antoine Laurent de J"
"Augustine of H";"Plotin"
"Aušra Augustinavičiūtė";"Antoni Kępińsk"
"Avicenn";"Plotin"
"Avital Ronell";"Emmanuel Levin"
"Benedetto C";"Giambattista V"
"Benedict Anderson";"Ernest Gelln"
"Benjamin Franklin";"Emer de Vattel"
"Benny Lévy";"Emmanuel Levin"
"Bernard-Henri Lévy";"Emmanuel Levin"
"Bernard Charbonn";"Jacques Ellul"
"Bernard Mandevill";"William Petty"
"Bernard Stiegl";"Gilbert Simondon"
"Bernard Stiegl";"Gilles Deleuz"
"Bernard Stiegl";"Martin H"
"Bernard Stiegl";"Jacques D"
"Bernhard Riemann";"Gottfried Wilhelm Leibniz"
"Bertrand Russell";"William Jam"
"Bertrand Russell";"Giuseppe Pean"
"Bertrand Russell";"Gottfried Wilhelm Leibniz"
"Bertrand Russell";"Richard McKeon"
"Bessarion";"Marsilio Ficin"
"Francesco Lomon";"Giambattista V"
"Frantz Fanon";"Jacques Lacan"
"Franz Rosenzw";"Martin B"
"François Quesnay";"Jean-François Melon"
"Fred R";"Margaret McFarlan"
"Frederica de Lagun";"Therkel Mathiassen"
"Fredric Jameson";"Ernst Bl"
"Fredy Perlman";"Jacques Cam"
"Friedrich Carl von Savigny";"Gustav H"
"Friedrich Engel";"Bruno B"
"Friedrich Nietz";"Empedocl"
"Friedrich Nietz";"E"
"Friedrich Nietz";"Giacomo L"
"Friedrich Nietz";"Pl"
"Friedrich Nietz";"Bruno B"
"Friedrich Schill";"Pl"
"Fritz Perl";"Martin B"
"Fritz Perl";"Jacob L. Moren"
"Félix G";"Gilles Deleuz"
"Félix Vicq-d'Azy";"Antoine P"
"G. A. Cohen";"Gilbert Ryl"
"Gabriel Marcel";"Martin B"
"Gabriel Marcel";"Martin H"
"Gale Bruno van Al";"Antonie Pannekoek"
"Gary Beck";"Jacob Min"
"Gayatri Chakravorty Spivak";"Jacques D"
"Gayle Rubin";"Marcel M"
"Gemistos Plethon";"Plotin"
"Geoffrey Hartman";"Jacques D"
"Geoffrey Hill";"Gillian R"
"Georg Jellinek";"Antoni Peretiatkowicz"
"Georg Wilhelm Friedrich Hegel";"Giambattista V"
"George Berkeley";"Gottfried Wilhelm Leibniz"
"George Bool";"Gottfried Wilhelm Leibniz"
"George Hill Mathewson Lawren";"William Rickatson Dyk"
"George Santayan";"William Jam"
"George Stein";"Gershom Scholem"
"George Washington";"Emer de Vattel"
"Georges Bataill";"Marcel M"
"Georges Cuv";"Antoine Laurent de J"
"Georges Dumézil";"Antoine Meill"
"Georges Sorel";"Giambattista V"
"Ha-Joon Chan";"William Baumol"
"Hannah Aren";"Gershom Scholem"
"Hannah Aren";"Martin H"
"Hans-Georg Gadam";"Martin H"
"Hans Henrik R";"William Morris Dav"
"Hans Urs von Bal";"Erich Przyw"
"Hans Urs von Bal";"Martin B"
"Hao Wang (academic)";"Willard Van Orman Quin"
"Harold Bloom";"Gershom Scholem"
"Harold Jeffrey";"William Sealy G"
"Harvey Cushin";"Arnold Kl"
"Harvey J. Levin";"William Vickrey"
"Hayden W";"Giambattista V"
"Sahotra Sark";"William C. Wim"
"Sal";"Antarah ibn S"
"Samuel Beck";"Giacomo L"
"Samuel Taylor Col";"William Godwin"
"Samuel Taylor Col";"Giambattista V"
"T. E. Lawren";"David George H"
"Tan Malak";"Antonio Gram"
"Ted Kaczynsk";"Jacques Ellul"
"Ted Nelson";"Gordon Pask"
"Werner Heisen";"Ernst M"
"Wilbur Marshall Urban";"Ernst C"
"Wilfrid Sell";"Gilbert Ryl"
"Wilhelm Wun";"Gottfried Wilhelm Leibniz"
"William F. Buckley J";"Eric Voegelin"
"William Hav";"Eric Voegelin"
"William Herbert Sheldon";"William Jam"
"William Jam";"Ernst M"
"William K. Carroll";"Antonio Gram"
"William Morton Wheel";"William Patten (zoologist)"
"William Shak";"Pl"
"William Stringfellow";"Jacques Ellul"
"William Thompson (philosopher)";"William Godwin"
"Elizabeth Grosz";"Gilles Deleuz"
"Mari R";"Jacques Lacan"
"Reiner Schürmann";"Martin H"
"Rustum Roy";"Jacques Ellul"
"Mohammed Rustom";"William Chittick"
"Moshe Idel";"Gershom Scholem"
"Ann Nocen";"Marshall McLuhan"
"Anthony Croslan";"Evan Durbin"
"Anthony D. Sm";"Ernest Gelln"
"Antisthen";"G"
"Antoine-Augustin Parmen";"Guillaume-François Rouell"
"Antoine Lav";"Guillaume-François Rouell"
"Antonio Dam";"William Jam"
"Antonio Gram";"Giambattista V"
"Antonio N";"Gilles Deleuz"
"Antonio N";"Jacques Cam"
"Apostolos Serl";"William A. Barn"
"Aristotl";"Empedocl"
"Armin Falk";"Ernst F"
"Emanuel Margol";"Emil L. Sm"
"Emil Brunn";"Martin B"
"Emil Fackenheim";"Gershom Scholem"
"Emil Kraepelin";"Friedrich Meggendorf"
"Emmanuel Levin";"Ernst Bl"
"Emmanuel Levin";"Martin B"
"Emmanuel Levin";"Martin H"
"Emmanuel Moun";"Jacques Maritain"
"Emmanuel T";"Emmanuel Le Roy L"
"Emmon B";"Zeno Vendl"
"Enrico Bom";"Giovanni Ricci (mathematician)"
"Enrique Dussel";"Emmanuel Levin"
"E";"A"
"Erasm";"Giovanni Pico della Mirandol"
"Eric Voegelin";"Giambattista V"
"Erich A";"Giambattista V"
"Ernesto Lacl";"Antonio Gram"
"Ernst-Wolfgang Böckenfö";"Joachim R"
"Erving Goffman";"Everett Hughes (sociologist)"
"Erwin Stresemann";"Ernst H"
"Eugene Gendlin";"Richard McKeon"
"André Martin";"Antoine Meill"
"Gertrude Stein";"William Jam"
"Ghillean Pran";"William T. Stearn"
"Ghulam Ali Dehlav";"Mirza Mazhar Jan-e-Janaan"
"Giles of V";"Marsilio Ficin"
"Gilles Deleuz";"Gilbert Simondon"
"Gilles Deleuz";"Gottfried Wilhelm Leibniz"
"Giorgio Agamben";"Emmanuel Levin"
"Giorgio Agamben";"Gershom Scholem"
"Giorgio Agamben";"Gilles Deleuz"
"Giorgio Agamben";"Martin H"
"Giorgio Agamben";"Jacob T"
"Giosuè C";"Giacomo L"
"Giovanni Pico della Mirandol";"Marsilio Ficin"
"Giovanni Vail";"Giuseppe Pean"
"Giuseppe Ferrari (philosopher)";"Giambattista V"
"Giuseppe Pean";"Angelo Gen"
"G";"Empedocl"
"Gottfried Wilhelm Leibniz";"Gerolamo Cardan"
"Gottlob F";"Gottfried Wilhelm Leibniz"
"Gottlob F";"Bruno B"
"Marcella Althaus-R";"Gilles Deleuz"
"Marcellin Berthel";"Antoine Jérôme Bal"
"Marcia Baron";"Stephen Darwall"
"Marcus Aurel";"Pl"
"Margaret San";"Emma Goldman"
"Margret Grebowicz";"David Carr (phenomenology scholar)"
"Maria Gaetana Agn";"Gerolamo Cardan"
"Marilynne Robinson";"William Jam"
"Mario Kopić";"Gianni Vattim"
"Mark F";"Gilles Deleuz"
"Mark F";"Marshall McLuhan"
"Marshall McLuhan";"Giambattista V"
"Marshall McLuhan";"Richard McKeon"
"Martin B";"Jacob L. Moren"
"Martin H";"Emil Lask"
"Martin H";"Gottfried Wilhelm Leibniz"
"Martin Luther King J";"Erich Fromm"
"Martin Palouš";"Eric Voegelin"
"Pl";"G"
"Plotin";"Pl"
"Pl";"Poly"
"Pl";"Posidon"
"Polizian";"Marsilio Ficin"
"Pope Benedict XVI";"Erich Przyw"
"Porphyry (philosopher)";"Plotin"
"Porphyry (philosopher)";"Pl"
"Terence McKenn";"Marshall McLuhan"
"David Dowty";"Zeno Vendl"
"David J. Malan";"Brian Kernighan"
"Ugo Foscol";"Giambattista V"
"Umberto E";"Gershom Scholem"
"Umberto S";"Giacomo L"
"James Doull";"Emil Fackenheim"
"Vasily Davydov";"Evald Ilyenkov"
"Metrodorus of Lampsacus (the younger)";"E"
"Quentin Meillassoux";"Martin H"
"Giovanni Padovan";"Pietro P"
"Laura Perl";"Martin B"
"Hugh Kenn";"Marshall McLuhan"
"Thomas Anthony H";"Eric Bern"
"Linda Martín Alcoff";"Martha Nussbaum"
"Brian Mathew";"William Rickatson Dyk"
"Bruno L";"Eric Voegelin"
"Bruno L";"Gilbert Simondon"
"Bruno L";"Gilles Deleuz"
"Bruno L";"Jacques Ellul"
"Bryan Reynolds (scholar)";"Gilles Deleuz"
"Jacques-Alain Mill";"Jacques Lacan"
"Jacques D";"Emmanuel Levin"
"Jacques D";"Martin H"
"Jacques Ellul";"Gilbert Simondon"
"Jacques Languiran";"Marshall McLuhan"
"Jaime Guzmán";"Plinio Corrêa de Oliv"
"James A. Michen";"Brand Blan"
"James C. S";"Ester B"
"James Hillman";"Giambattista V"
"James Joy";"Giambattista V"
"James K. A. Sm";"Jacques D"
"James Luther Adam";"Ernst Troel"
"James Tobin";"William Baumol"
"James V. Schall";"Eric Voegelin"
"Jan Patočk";"Martin H"
"Jean-Claude Guill";"Jacques Ellul"
"Jean-Jacques R";"E"
"Jean-Jacques R";"Gottfried Wilhelm Leibniz"
"Jean-Luc Marion";"Emmanuel Levin"
"Jean-Luc Marion";"Martin H"
"Jean-Luc Nancy";"Martin H"
"Jean-Luc Nancy";"Jacques D"
"Jean-Paul S";"Martin H"
"Jean Baudrill";"Emil Cioran"
"Jean Baudrill";"Marshall McLuhan"
"Jean Dalby Clif";"Marie-Louise von Franz"
"Jean Dauj";"Jacques Maritain"
"Jean Paul";"Pl"
"Jean Tirol";"William Baumol"
"Keith Hart (anthropologist)";"Marcel M"
"Maura Scannell";"Evelyn B"
"Maurice Blan";"Emmanuel Levin"
"Maurice Blan";"Martin H"
"Maurice Blondel";"Gottfried Wilhelm Leibniz"
"Maurice Merleau-Ponty";"Eugène Minkowsk"
"Maurice Merleau-Ponty";"Martin H"
"Max Stirn";"Bruno B"
"Max Wal";"William T. Stearn"
"Meher B";"Upasani Maharaj"
"Merce Cunningham";"Marshall McLuhan"
"Charles Plum";"Joseph Pitton de Tournef"
